relationshipType,unique_value_count,unique_values
hasSilhouette,11,"['square', 'pointed', 'cylindrical', 'straight', 'round shape', 'round', 'bottle-shaped', 'a-line', 'bell-shaped', 'formless', 'bell-shaped silhouette']"
hasMaterialType,10,"['nail polish', 'plastic', 'gel', 'glass and plastic', 'acrylic', 'gel polish', 'plastic or resin', 'liquid', 'gel-based', 'lacquer']"
belongsToCategory,6,"['upperbody', 'cosmetics', 'lowerbody', 'upper body', 'head', 'wholebody']"
hasOpeningType,5,"['brush', 'screw cap', 'bottle cap', 'zipper', 'bottle opening']"
hasPattern,3,"['solid color', 'striped', 'plain color']"
hasNickname,3,"['nail polish', 'dark gray nail polish', 'clear coat']"
hasFabricTreatment,3,"['matte finish', 'glossy', 'high gloss']"
hasLength,2,"['short', 'medium']"
depicts,2,"['nail polish', 'lipstick']"
hasSleeveType,2,"['sleeveless', 'long']"
hasNeckline,2,"['no neckline', 'round']"
hasPocketType,2,"['no pocket', 'non-existent']"
hasWaistline,2,"['non-existent', 'no waist']"
hasAnimalPattern,1,['no']
