relationshipType,unique_value_count,unique_values
hasOpeningType,10,"['v-neck', 'round neck', 'crew neck', 'button', 'crew neck opening', 'round neckline', 'front opening', 'button front', 'zipper front', 'zip front']"
hasNeckline,7,"['round neck', 'crew-neck', 'round neckline', 'crew neckline', 'crewneck', 'crew neck', 'v-neck']"
hasWaistline,7,"['natural', 'high-waisted', 'defined', 'fitted', 'natural waistline', 'straight', 'empire waist']"
hasPattern,7,"['solid color', 'striped', 'floral', 'graphic print', 'abstract pattern', 'printed', 'plain pattern']"
hasSilhouette,5,"['straight', 'fitted', 'a-line', 'round neck', 'crew neck']"
hasCollarType,4,"['crew-neck', 'round neck', 'crew neckline', 'crew neck collar']"
hasFabricTreatment,4,"['plain weave', 'perforated', 'lightweight', 'washed']"
hasLength,3,"['short', 'short-sleeved', 'above-the-knee length']"
depicts,3,"['t-shirt', 'shirt', 'dress']"
hasAnimalPattern,3,"['zebra', 'cartoon characters', 'no']"
hasLapelType,2,"['no-lapel', 'lapel-less']"
hasMaterialType,1,['cotton']
hasSleeveType,1,['short-sleeve']
belongsToCategory,1,['upperbody']
hasNickname,1,['t-shirt']
hasPocketType,1,['side pockets']
hasLeatherType,1,['no leather']
