relationshipType,unique_value_count,unique_values
hasOpeningType,12,"['round-neck', 'zipper', 'button front', 'front closure', 'front opening', 'crossover', 'button', 'open-front', 'back', 'button-down', 'round neck', 'zip closure']"
hasNeckline,9,"['v-neck', 'round', 'round-neck', 'round neckline', 'scoop', 'strapless', 'square', 'round neck', 'crewneck']"
hasSleeveType,8,"['sleeveless', 'half-sleeved', 'spaghetti straps', 'puff sleeve', 'short', 'spaghetti strap', 'short-sleeve', 'cap-sleeves']"
hasLength,8,"['short', 'below the knee', 'knee-length', 'above the knee', 'below-the-knee', 'above-knee', 'midi', 'above-the-knee length']"
hasFabricTreatment,8,"['plain weave', 'lined', 'printed', 'smooth', 'unfinished seams', 'no treatment', 'solid', 'soft finish']"
hasMaterialType,6,"['satin', 'cotton', 'synthetic', 'silk', 'natural fibers', 'fabric']"
hasPattern,6,"['solid color', 'floral', 'abstract', 'polka-dot', 'striped', 'stripe']"
hasCollarType,6,"['v-neck', 'round collar', 'round', 'notch', 'crew', 'spread-collar']"
depicts,3,"['dress', 'shirt', 't-shirt']"
hasAnimalPattern,3,"['no', 'floral', 'elephant']"
hasPocketType,3,"['side pockets', 'sidepockets', 'patch']"
hasWaistline,2,"['natural', 'empire waist']"
hasSilhouette,1,['a-line']
belongsToCategory,1,['upperbody']
