relationshipType,unique_value_count,unique_values
hasMaterialType,18,"['glass', 'plastic', 'fabric', 'liquid', 'cotton', 'perfume bottle', 'perfume', 'glass and plastic', 'glass and metal', 'cotton material type', 'cotton material', 'transparent material', 'synthetic', 'cotton or polyester blend', 'synthetic material', 'fabric material', 'gelatine', 'leather material type']"
hasOpeningType,16,"['button', 'zipper', 'crew neck opening', 'screw cap opening', 'screw cap', 'spray nozzle', 'open-front', 'screwed top', 'no opening type', 'zipper opening', 'cap', 'nonexistent', 'crotch opening', 'closed opening', 'open front', 'slipper opening']"
hasSilhouette,15,"['bottle', 'cylindrical', 'straight', 'square', 'a-line', 'cylinder', 'fitted silhouette', 'fitted', 'rectangular', 'oval', 'round', 'bikini silhouette', 'sandal silhouette', 'slipper silhouette', 'slim silhouette']"
depicts,10,"['perfume', 'bottle', 'watch', 'perfume bottle', 't-shirt', 'shirt', 'thong', 'wallet', 'shoes', 'hat']"
hasNickname,8,"['fragrance', 'perfume bottle', 'perfume', 'halloween kiss', 'deodorant spray', 'nike perfume', 'pink perfume bottle', 'nike eau de toilette']"
hasFabricTreatment,8,"['polished', 'coating', 'spray perfume', 'nonexistent', 'stretch', 'fragrance', 'perfume', 'polished finish']"
hasSleeveType,7,"['short', 'cap sleeves', 'sleeveless', 'short-sleeve', 'sleeveless sleeve', 'nonexistent', 'long-sleeve']"
hasWaistline,7,"['natural', 'natural waistline', 'fitted waistline', 'high-waisted', 'low-rise waistline', 'waistless waistline', 'fitted']"
hasPattern,7,"['plain pattern', 'solid color', 'floral', 'graphic pattern', 'nonexistent', 'striped', 'stripes pattern']"
belongsToCategory,6,"['fragrance', 'whole body', 'upperbody', 'clothing accessories', 'head', 'lowerbody']"
hasNeckline,6,"['round neckline', 'no neckline', 'v-neck neckline', 'nonexistent', 'v-neck', 'no neckline type']"
hasCollarType,6,"['crew neck collar', 'crew neck collar type', 'scoop neck collar', 'nonexistent', 'no collar type', 'no collar style']"
hasLength,3,"['short', 'knee-length', 'long']"
hasLeatherType,3,"['no', 'no leather type', 'no leather']"
hasPocketType,3,"['no pocket type', 'nonexistent', 'pocket']"
hasLapelType,2,"['no lapel type', 'nonexistent']"
hasAnimalPattern,2,"['pink flowers', 'nonexistent']"
