relationshipType,unique_value_count,unique_values
hasSilhouette,14,"['bodycon', 'slim-fit', 'hiphugger', 'bikini silhouette', 'hipster', 'slimming', 'briefs', 'bikini-cut', 'slim', 'formfitting', 'fitted', 'a-line', 'bikini', 'body-hugging']"
hasOpeningType,13,"['zip-up opening', 'open back', 'zipper', 'open-front', 'button', 'open front', 'crotch opening', 'zipper or button', 'zip front', 'button down', 'open-back', 'back opening', 'side opening']"
hasNeckline,11,"['round neck', 'crew neck', 'round', 'no neckline', 'scoop neck', 'off-the-shoulder neckline', 'v-neck', 'round neckline', 'crew-neck', 'off-the-shoulder', 'no-neckline']"
depicts,11,"['thong', 't-shirt', 'underwear', 'panties', 'undergarments', 'lowerbody', 'tights', 'socks', 'jumpsuit', 'bag', 'pants']"
hasFabricTreatment,10,"['smooth', 'stretchy', 'perforated', 'soft and smooth', 'stretch', 'stretchable', 'plain weave', 'stretchable fabric', 'stretchy fabric', 'no-fabric-treatment']"
hasWaistline,6,"['high-waisted', 'high', 'low-waisted', 'natural-waist', 'low-rise', 'natural']"
hasPattern,5,"['striped', 'solid color', 'stripe', 'striped pattern', 'floral']"
hasLength,5,"['short', 'thong', 'ankle-length', 'micro', 'briefs']"
hasPocketType,4,"['side pocket', 'no pocket', 'pocketless', 'pocket-less']"
hasNickname,4,"['bikini bottoms', 'jockstrap', 'bikini', 'thong']"
hasSleeveType,3,"['sleeveless', 'long-sleeve', 'short']"
hasLeatherType,3,"['no leather', 'leather-free', 'no-leather']"
hasMaterialType,2,"['cotton', 'cotton blend']"
hasAnimalPattern,2,"['animal-free', 'no-animal-pattern']"
hasLapelType,2,"['lapel-less', 'no-lapel']"
belongsToCategory,1,['lowerbody']
