relationshipType,unique_value_count,unique_values
hasSilhouette,18,"['open-toed', 'slipper', 'athletic', 'regular', 'flat', 'closed-toe', 'low-top', 'round', 'pointed toe', 'slip-on', 'running shoe', 'sporty', 'round toe', 'trimmable', 'ankle boots', 'sneaker', 'pointed-toe athletic', 'sandal']"
hasFabricTreatment,14,"['textured', 'perforations', 'no treatment', 'waterproof', 'perforated', 'treated', 'texturized', 'breathable mesh', 'breathable mesh panels', 'smooth', 'brushed', 'breathable', 'textured fabric', 'textile finishing']"
hasOpeningType,8,"['open-front', 'strap', 'lace-up', 'closed', 'slip-on', 'open toe', 'velcro', 'closed toe']"
hasSleeveType,8,"['sleeveless', 'short', 'short-sleeve', 'closed', 'long', 'long-sleeve', 'ankle-length sleeve', 'short sleeveless']"
hasLength,8,"['short', 'midi', 'low-top', 'long', 'low-cut', 'ankle-high', 'ankle-length', 'full length']"
hasNeckline,5,"['round', 'no neckline', 'round neckline', 'round neck', 'u-shaped']"
hasPattern,3,"['solid color', 'striped', 'stripe']"
hasWaistline,2,"['no waist', 'no-waist']"
hasPocketType,2,"['non-pockets', 'no-pockets']"
hasCollarType,2,"['non-collared', 'strapless']"
hasMaterialType,1,['synthetic']
belongsToCategory,1,['lowerbody']
depicts,1,['shoes']
hasLeatherType,1,['no leather']
hasAnimalPattern,1,['no animal print']
