relationshipType,unique_value_count,unique_values
hasOpeningType,15,"['zipper', 'open-front', 'back-opening', 'open front', 'snap front', 'crossover opening', 'back zipper', 'zipper closure', 'fly', 'zipper or elastic waistband', 'zipper or button', 'zip fly', 'slip-on', 'back opening', 'side opening']"
hasFabricTreatment,14,"['stretchy', 'non-treated', 'stretchable', 'plain weave', 'textured', 'breathable mesh', 'perforated', 'no treatment', 'stretchy fabric', 'stretch', 'stretchable fabric', 'moisture-wicking', 'spandex blend', 'smooth']"
hasSilhouette,14,"['bodycon', 'form-fitting', 'briefs', 'straight', 'slim-fit', 'body-hugging', 'flat', 'a-line', 'briefs silhouette', 'bodycon silhouette', 'thong', 'boyshorts', 'bikini', 'bikini silhouette']"
depicts,10,"['dress', 'underwear', 'belt', 'shoes', 'skirt', 'thong', 'lowerbody', 'panties', 'bag', 'shorts']"
hasMaterialType,9,"['synthetic', 'cotton', 'cotton blend', 'cotton fabric', 'cotton material', 'polyester', 'synthetic material', 'cotton or synthetic blend', 'stretchy fabric']"
hasNeckline,9,"['round neckline', 'straight', 'round neck', 'no neckline', 'round', 'no-neckline', 'sweetheart neckline', 'v-neck', 'crew neckline']"
hasLength,7,"['short', 'briefs', 'above knee length', 'thong', 'above the knee', 'knee-length dress', 'ankle-length']"
hasWaistline,5,"['high-waisted', 'natural-waist', 'high', 'low-rise', 'natural']"
hasPattern,4,"['solid color', 'striped', 'floral', 'solid pattern']"
hasPocketType,4,"['no-pockets', 'no pocket', 'no-pocket', 'pocketless']"
hasNickname,3,"['thong', 'black dress', 'jockstrap']"
hasSleeveType,2,"['sleeveless', 'short sleeveless']"
hasAnimalPattern,2,"['no-animal pattern', 'no animal print']"
hasLeatherType,2,"['no-leather', 'no leather']"
belongsToCategory,1,['lowerbody']
hasLapelType,1,['no-lapel']
