relationshipType,unique_value_count,unique_values
hasFabricTreatment,10,"['unfinished', 'suede', 'textured', 'perforated', 'non-sheer', 'waterproof', 'breathable mesh', 'smooth', 'suede finish', 'smooth-finished']"
hasLeatherType,9,"['full-grain', 'smooth', 'full-grain leather', 'nubuck', 'cowhide', 'full grain leather', 'smooth-leather', 'leather', 'calfskin']"
hasLength,8,"['low-top', 'ankle-length', 'short', 'slip-on', 'ankle-high', 'flat', 'full', 'low heel']"
hasSilhouette,8,"['slip-on', 'pointed toe', 'loafers', 'round toe', 'round', 'athletic', 'closed-toe', 'loafer']"
hasNeckline,7,"['no neckline', 'no-neckline', 'round', 'round-neck', 'round neck', 'square-neckline', 'high-neck']"
hasOpeningType,6,"['slip-on', 'slip-on opening', 'closed-toe', 'zipper', 'closed', 'lace-up']"
hasSleeveType,6,"['slip-on', 'sleeveless', 'closed', 'short', 'short-sleeves', 'short-sleeve']"
hasPattern,5,"['solid color', 'striped', 'solid-color', 'plain-color', 'polka-dot']"
hasMaterialType,3,"['leather', 'fabric', 'synthetic']"
hasWaistline,3,"['no-waist', 'natural-waist', 'high-waisted']"
belongsToCategory,2,"['lowerbody', 'shoes']"
depicts,1,['shoes']
hasAnimalPattern,1,['no animal patterns']
hasLapelType,1,['no-lapel']
hasPocketType,1,['no-pockets']
hasCollarType,1,['slip-on']
