relationshipType,unique_value_count,unique_values
hasOpeningType,10,"['round', 'buttoned opening', 'button', 'buckle', 'closed', 'button or buttonhole opening', 'strap', 'button or zipper', 'button front', 'closed opening']"
hasNeckline,8,"['round neck', 'straight neckline', 'round', 'square', 'circular', 'round neckline', 'no neckline', 'straight']"
hasFabricTreatment,6,"['polished', 'polished finish', 'smooth', 'textured', 'polished metal', 'stamped']"
hasSleeveType,5,"['long', 'sleeveless', 'short', 'long-sleeve', 'short-sleeve']"
hasSilhouette,5,"['square', 'circular', 'round', 'rectangular', 'classic']"
hasLength,3,"['short', 'medium', 'long']"
belongsToCategory,3,"['upperbody', 'head', 'watch']"
hasPattern,3,"['striped pattern', 'solid color', 'striped']"
hasMaterialType,2,"['metal', 'stainless steel']"
hasNickname,2,"['wristwatch', 'timepiece']"
depicts,1,['watch']
hasPocketType,1,['no pocket']
hasWaistline,1,['no waist']
hasLeatherType,1,['no leather type']
hasLapelType,1,['lapelless']
