unique_product,attribute_count
: Fastrack_Adults-Men_Men_Brown_Fashion_Winter_2016_Casual_Wallets_Accessories_Wallets_5,6
Police_Adults-Women_Women_Brown_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA_Sung_2,6
Playboy_Adults-Women_Women_Pink_Core_Spring_2017_Casual_1_NA_3_NA_60_24_Perfume_NA_NA_NA_Mild_NA_Fre_1,8
United_Colors_of_Benetton_Adults-Women_Women_Lavender_Fashion_Summer_2011_Casual_Scarves_Accessories_3,8
:  Fastrack_Adults-Men_Men_Brown_Fashion_Winter_2016_Casual_Wallets_Accessories_Wallets_5,9
Arrow_Woman_Adults-Women_Women_Red_Fashion_Summer_2012_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Bas_4,9
51028.jpg,10
56298.jpg,10
59073.jpg,10
59096.jpg,10
