relationshipType,unique_value_count,unique_values
hasOpeningType,14,"['zipper', 'open front', 'round neck', 'zipper opening', 'round neckline', 'button', 'button down', 'v-neck opening', 'buttoned closure', 'crew neck', 'front opening', 'crew neck opening', 'zipper front', 'round opening']"
hasWaistline,10,"['natural', 'defined', 'high', 'mid-rise waistline', 'no-waist', 'natural waistline', 'natural-waist', 'straight', 'high-waisted', 'high waistline']"
hasFabricTreatment,9,"['no treatment', 'soft', 'stretch fabric treatment', 'plain weave', 'non-stretch', 'non-existent', 'twill', 'unprocessed', 'soft and smooth texture']"
hasNeckline,8,"['round neck', 'round', 'crew-neck', 'crew neck', 'round neckline', 'v-neck', 'crew neckline', 'v-neckline']"
hasLength,8,"['short', 'knee-length', 'regular', 'long', 'below the waist', 'sleeveless', 'above the knee', 'above-the-knee']"
depicts,7,"['t-shirt', 'shirt', 'tank top', 'pants', 'dress', 'vest', 'blouse']"
hasCollarType,6,"['crew-neck', 'crew', 'round', 'v-neck', 'round neck', 'crew neckline']"
hasPattern,5,"['floral', 'striped', 'non-existent', 'solid color', 'striped pattern']"
hasSilhouette,4,"['sleeveless', 'a-line', 'straight', 'round neck']"
hasSleeveType,3,"['sleeveless', 'short-sleeve', 'short']"
hasLeatherType,3,"['non-existent', 'no leather', 'no leather type']"
hasMaterialType,2,"['cotton', 'cotton material']"
belongsToCategory,2,"['upperbody', 'lowerbody']"
hasPocketType,2,"['no pocket', 'no-pocket']"
hasAnimalPattern,1,['non-existent']
hasLapelType,1,['non-existent']
