relationshipType,unique_value_count,unique_values
hasLength,9,"['medium', 'short', 'medium length', 'above the knee length', 'long', 'shoulder bag', 'above the knee', 'knee-length', 'medium-length']"
hasLeatherType,6,"['full-grain leather', 'vegetable-tanned leather', 'genuine leather', 'full grain leather', 'cowhide', 'smooth leather']"
hasWaistline,5,"['high', 'natural-waist', 'natural', 'natural waistline', 'high-waisted']"
hasNeckline,5,"['round neckline', 'straight neckline', 'round', 'round neck', 'notch neckline']"
hasOpeningType,4,"['zipper closure', 'zipper opening', 'top opening', 'zipper']"
hasSleeveType,4,"['sleeveless', 'short-sleeve', 'short', 'long-sleeve']"
hasSilhouette,3,"['straight', 'a-line', 'shoulder bag']"
hasPattern,2,"['solid color', 'floral']"
hasFabricTreatment,2,"['suede finish', 'suede']"
hasMaterialType,1,['leather']
belongsToCategory,1,['upperbody']
depicts,1,['bag']
hasAnimalPattern,1,['crocodile pattern']
hasPocketType,1,['side pockets']
