relationshipType,unique_value_count,unique_values
hasOpeningType,16,"['closed toe', 'closed', 'open toe', 'lace-up', 'slip-on', 'closed toe and closed heel', 'lace-up front', 'slit', 'open', 'open-toe', 'sandal', 'velcro', 'open-front', 'open at the back', 'closed-opening', 'open toe and heel']"
hasFabricTreatment,13,"['no special treatment', 'treated', 'plain weave', 'treated with dye or pigment', 'non-woven fabric', 'textured', 'suede', 'suede finish', 'no-treatment', 'smooth', 'plain-texture', 'coated', 'textile finishing']"
hasPattern,7,"['no-pattern', 'striped', 'solid color', 'print', 'floral', 'polka-dot', 'solid-color']"
hasMaterialType,6,"['synthetic', 'fabric', 'rubber', 'leather', 'textile', 'synthetic-material']"
hasNeckline,6,"['round', 'round-neck', 'round neck', 'open', 'v-neck', 'u-shaped']"
hasSilhouette,4,"['flat', 'sandal', 'open-toe', 'round']"
hasPocketType,4,"['no pocket', 'pockets', 'no-pockets', 'no-pocket']"
hasSleeveType,2,"['sleeveless', 'short']"
hasLength,2,"['short', 'flat']"
depicts,2,"['shoes', 'sandal']"
hasWaistline,2,"['natural', 'no-waist']"
hasLeatherType,2,"['full-grain', 'full-grain leather']"
hasCollarType,2,"['non-collared', 'strapless']"
belongsToCategory,1,['lowerbody']
hasLapelType,1,['no-lapel']
hasNickname,1,['sandal']
