relationshipType,unique_value_count,unique_values
hasFabricTreatment,12,"['water resistant', 'non-treated fabric', 'waterproof fabric', 'water-repellent coating', 'no textile finishing', 'solid', 'waterproof treatment', 'softened', 'no special treatment', 'waterproof', 'unfinished hem', 'water-resistant']"
hasLength,9,"['long', 'full length', 'medium', 'regular length', 'short', 'medium length', 'knee-length', 'above the knee', 'regular']"
hasPocketType,8,"['side pockets', 'front pocket', 'inside pocket', 'zipper pocket', 'side pocket', 'patch pockets', 'zipper', 'front pockets']"
hasPattern,8,"['abstract', 'plaid pattern', 'solid color pattern', 'solid color', 'geometric', 'plain pattern', 'striped', 'camouflage pattern']"
hasOpeningType,7,"['zipper', 'zip closure', 'zipper opening', 'zipped opening', 'buckle', 'zipper closure', 'button-front closure']"
hasNeckline,7,"['not present', 'crew neckline', 'straight', 'round neckline', 'no neckline', 'round neck', 'round']"
hasMaterialType,6,"['nylon', 'polyester', 'synthetic', 'leather', 'nylon fabric', 'cotton']"
hasSleeveType,6,"['long-sleeve', 'short', 'short-sleeve', 'long', 'sleeveless', 'straight']"
hasWaistline,6,"['high-waisted', 'natural', 'high', 'natural-waist', 'natural waistline', 'straight']"
hasAnimalPattern,4,"['not present', 'animal pattern', 'no animal print', 'animal print']"
hasLeatherType,4,"['not present', 'leather-free', 'cowhide', 'no leather']"
depicts,4,"['backpack', 'bag', 'belt', 'shirt']"
hasSilhouette,3,"['straight', 'backpack', 'rectangular']"
hasLapelType,2,"['not present', 'lapel-less']"
hasCollarType,2,"['not present', 'pointed-collar']"
belongsToCategory,1,['upperbody']
