relationshipType,unique_value_count,unique_values
hasOpeningType,15,"['round neck', 'closed', 'round opening', 'button closure', 'crew neck opening', 'button', 'crew-neck', 'button front', 'crewneck', 'round neck opening', 'crew-neck opening', 'buttoned opening', 'button-down front', 'button-down', 'round neckline']"
hasSilhouette,10,"['regular fit', 'slim-fit', 'round neck', 'regular', 'crew neck', 'fitted', 'a-line', 'straight', 'loose-fit', 'crewneck']"
hasNeckline,8,"['round neck', 'round', 'round neckline', 'crew neckline', 'crew neck', 'crewneck', 'round-neckline', 'crew-neck']"
hasFabricTreatment,8,"['unbleached', 'soft and breathable', 'plain weave', 'soft touch', 'brushed', 'printed', 'pre-shrunk', 'fitted']"
hasLength,7,"['short', 'regular length', 'short sleeve', 'short-sleeve', 'above-the-knee', 'above the knee', 'above-knee']"
hasNickname,7,"['graphic tee', 'comic book t-shirt', 'little miss tidy', 'billy idol tour t-shirt', 'crew neck t-shirt', 'crew neck tee', 'green graphic tee']"
hasWaistline,6,"['natural-waist', 'no waist', 'natural', 'fitted', 'natural waistline', 'mid-waisted']"
hasPattern,6,"['solid color', 'graphic print', 'textured print', 'stripe', 'geometric', 'striped']"
hasCollarType,5,"['crew-neck', 'crew-neck collar', 'round neck', 'round collar', 'crewneck collar']"
hasMaterialType,3,"['cotton', 'cotton blend', 'cotton/polyester blend']"
hasSleeveType,1,['short-sleeve']
belongsToCategory,1,['upperbody']
depicts,1,['t-shirt']
hasAnimalPattern,1,['non-existent']
hasLeatherType,1,['non-existent']
hasLapelType,1,['non-existent']
hasPocketType,1,['no-pocket']
