relationshipType,unique_value_count,unique_values
hasSilhouette,22,"['fitting', 'bodycon', 'sheath dress', 'fitted', 'straight', 'hug silhouette', 'briefs', 'bikini silhouette', 'a-line', 'sandal silhouette', 'slimming', 'bikini briefs', 'briefs silhouette', 'hipster', 'pointed toe', 'brief silhouette', 'bikini-cut', 'fitted silhouette', 'slimming silhouette', 'boyshorts', 'slim-fit', 'bikini-like']"
hasOpeningType,16,"['open-front', 'back-opening', 'open front', 'zipper', 'openings at the crotch', 'velcro straps', 'zipper opening', 'crossover opening', 'zipper closure', 'snap buttons', 'crotch opening', 'fly', 'zipper or elastic waistband', 'open back', 'slit opening', 'closed opening']"
hasMaterialType,14,"['cotton', 'synthetic', 'sequined fabric', 'cotton material', 'polyester', 'synthetic material', 'cotton blend', 'cotton fabric', 'fabric', 'leather', 'cotton or polyester blend', 'cotton or synthetic blend', 'silk or cotton', 'fabric material']"
hasFabricTreatment,13,"['unfinished seams', 'stretchable', 'stretchy fabric', 'soft fabric', 'unfinished hem', 'stretchy', 'stretch fabric', 'no treatment', 'plain weave', 'smooth finish', 'non-treated fabric', 'moisture-wicking', 'plain fabric']"
hasLength,12,"['short', 'knee-length', 'briefs', 'above the knee', 'briefs length', 'ankle length', 'mini length', 'ankle-length', 'above the knee length', 'brief length', 'long', 'mid-calf length']"
depicts,10,"['underwear', 'dress', 'shorts', 'undergarments', 'shoes', 'thong', 'panties', 'bag', 'lowerbody', 'saree']"
hasNeckline,9,"['round neck', 'square neck', 'v-neckline', 'v-neck', 'no neckline', 'round neckline', 'v-shaped', 'crew neck', 'neckline-less']"
hasPattern,8,"['solid color', 'plain pattern', 'striped pattern', 'striped', 'solid pattern', 'floral', 'polka-dot', 'geometric']"
hasWaistline,7,"['natural-waist', 'mid-rise waistline', 'high-waisted', 'low-waisted', 'low-rise', 'low waistline', 'natural waistline']"
hasPocketType,5,"['pocketless', 'no-pockets', 'front pockets', 'no pocket', 'side pockets']"
hasLeatherType,3,"['no leather', 'no leather type', 'non-leather']"
hasNickname,2,"['bikini bottoms', 'jockstrap']"
hasSleeveType,1,['sleeveless']
belongsToCategory,1,['lowerbody']
hasCollarType,1,['open collar']
hasAnimalPattern,1,['no animal print']
hasLapelType,1,['lapel-less']
