relationshipType,unique_value_count,unique_values
hasOpeningType,16,"['button', 'round opening', 'round neck', 'crew neck', 'button-down', 'zipper opening', 'button front', 'crewneck', 'crew neck opening', 'button-up', 'n/a', 'button placket', 'zip front', 'buttoned opening', 'button-down front', 'round-neck']"
hasSilhouette,11,"['regular fit', 'slim-fit', 'straight', 'a-line', 'fitted', 'round neck', 'crew neck', 'regular', 'loose-fit', 'straight/slim-fit', 'crew-neck']"
hasPattern,9,"['striped', 'solid color', 'textured print', 'graphic print', 'geometric', 'graphic', 'checked', 'printed', 'printed/cartoon character']"
hasFabricTreatment,9,"['plain weave', 'unbleached', 'perforated', 'stretchy', 'soft and breathable', 'stretch', 'n/a', 'pre-shrunk', 'fitted']"
hasWaistline,8,"['straight', 'fitted', 'natural-waist', 'defined', 'high-waisted', 'natural', 'no waist', 'n/a']"
hasNickname,6,"['t-shirt', 'billy idol tour t-shirt', 'crew neck t-shirt', 'n/a', 'polo shirt', 'green graphic tee']"
hasNeckline,5,"['round neck', 'crew-neck', 'crew neck', 'n/a', 'round/crew-neck']"
hasLength,5,"['short sleeve', 'short', 'regular length', 'short/long/sleeveless', 'short-sleeve']"
hasPocketType,4,"['patch pocket', 'no pocket', 'n/a', 'side pockets']"
hasCollarType,3,"['crew-neck', 'classic collar', 'round neck']"
hasAnimalPattern,3,"['zebra', 'no', 'n/a']"
hasMaterialType,2,"['cotton', 'cotton blend']"
hasSleeveType,2,"['long-sleeve', 'short-sleeve']"
depicts,2,"['t-shirt', 'shirt']"
belongsToCategory,1,['upperbody']
hasLeatherType,1,['n/a']
hasLapelType,1,['n/a']
