relationshipType,unique_value_count,unique_values
hasNeckline,16,"['round neckline', 'v-neck', 'no neckline', 'straight', 'point', 'pointed', 'spread', 'classic', 'crew', 'crewneck', 'round-neck', 'round', 'v-neckline', 'notch', 'mandarin', 'round neck']"
hasOpeningType,15,"['zipper closure', 'button front', 'side opening', 'zipper', 'open front', 'button', 'center front opening', 'wrap-around opening', 'open', 'zipper opening', 'single-breasted opening', 'asymmetrical opening', 'buttonhole', 'open-front', 'back opening']"
depicts,11,"['bag', 'shirt', 'skirt', 'scarf', 'perfume bottle', 'sari', 'tie', 'dress', 'sweatshirt', 'saree', 'necklace']"
hasPocketType,8,"['pockets on sides', 'chest pocket', 'patch', 'no-pocket', 'side', 'slant', 'chest pockets', 'no pocket']"
hasCollarType,8,"['notch-collar', 'pointed', 'spread-collar', 'button-down', 'point', 'crew-neck', 'hooded', 'mandarin-collar']"
hasWaistline,6,"['high-waisted', 'natural', 'no waist', 'natural-waist', 'high', 'natural waistline']"
hasFabricTreatment,5,"['plain weave', 'printed', 'dyeing', 'embroidered', 'dobby']"
hasPattern,4,"['solid color', 'floral', 'striped', 'plaid']"
hasMaterialType,4,"['fabric', 'cotton', 'silk', 'acrylic']"
hasSleeveType,3,"['sleeveless', 'long-sleeve', 'long']"
hasSilhouette,3,"['straight', 'a-line', 'long']"
hasAnimalPattern,3,"['bird', 'peacock motif', 'no-animal']"
hasLapelType,3,"['notch', 'no-lapel', 'pointed lapel']"
belongsToCategory,2,"['upperbody', 'neckwear']"
hasLength,1,['long']
hasNickname,1,['jewelry']
hasLeatherType,1,['not leather']
