relationshipType,unique_value_count,unique_values
hasFabricTreatment,15,"['embossed', 'textured', 'breathable mesh panels', 'waterproof', 'texturized', 'perforated', 'tanned', 'breathable mesh', 'suede', 'smooth', 'brushed', 'no-treatment', 'smooth finish', 'dyeing', 'suede finish']"
hasSilhouette,13,"['pointed', 'closed-toe', 'athletic', 'high top sneakers', 'pointed toe', 'round', 'slip-on', 'high-top', 'sporty', 'regular', 'bootcut', 'square toe', 'low-top']"
hasSleeveType,9,"['long', 'short-sleeve', 'long-sleeve', 'closed', 'closed-toe', 'short', 'short sleeveless', 'slip-on', 'sleeveless']"
hasMaterialType,7,"['leather', 'synthetic', 'synthetic materials', 'synthetic material', 'canvas', 'fabric', 'synthetic fabric']"
hasNeckline,5,"['round', 'closed', 'round-neck', 'round neckline', 'round neck']"
hasPattern,4,"['striped', 'solid color', 'solid-colored', 'solid-color']"
hasLeatherType,4,"['smooth', 'full-grain leather', 'full-grain', 'smooth leather']"
hasOpeningType,2,"['lace-up', 'closed-toe']"
hasLength,2,"['ankle-high', 'ankle-length']"
depicts,2,"['shoes', 'shoe']"
belongsToCategory,1,['lowerbody']
hasAnimalPattern,1,['no animal print']
hasLapelType,1,['no-lapel']
hasPocketType,1,['side pockets']
