relationshipType,unique_value_count,unique_values
hasSilhouette,13,"['square', 'regular', 'straight', 'long and slender bottle shape', 'cylindrical', 'fitted', 'curved', 'cylinder', 'fitted silhouette', 'classic', 'oval', 'round', 'rectangular']"
hasNeckline,11,"['spread', 'notch', 'no neckline', 'round neckline', 'crew neck', 'classic', 'round neck', 'v-neck', 'nonexistent', 'mandarin', 'crewneck']"
hasMaterialType,10,"['nail polish', 'glass', 'cotton', 'no material type', 'glass and plastic', 'fabric', 'perfume bottle', 'synthetic fabric', 'cotton or linen', 'plastic']"
hasOpeningType,10,"['screw cap', 'button', 'no opening type', 'screw cap closure', 'screw cap opening', 'button front', 'zipper', 'cap', 'nonexistent', 'buttons']"
hasFabricTreatment,10,"['plain weave', 'textured', 'matte finish', 'polished', 'spray perfume', 'stretchy', 'solid', 'unbleached', 'nonexistent', 'non-treated']"
hasCollarType,8,"['button-down', 'collared', 'no collar type', 'spread-collar', 'pointed', 'nonexistent', 'mandarin-collar', 'open']"
hasNickname,7,"['eau de toilette', 'perfume bottle', 'perfume', 'dark gray nail polish', 'nike perfume', 'pink perfume bottle', 'nail polish']"
hasPattern,7,"['striped', 'solid color', 'gradient', 'plaid', 'floral', 'nonexistent', 'stripe']"
belongsToCategory,6,"['upperbody', 'head', 'upper body', 'lowerbody', 'perfume bottle', 'fragrance']"
hasSleeveType,6,"['short', 'no sleeve type', 'sleeveless', 'short-sleeve', 'long-sleeve', 'nonexistent']"
hasLength,5,"['short', 'no length', '17-20 inches', 'ankle length', 'regular']"
depicts,5,"['nail polish', 'perfume bottle', 'shirt', 'perfume', 'sports bra']"
hasWaistline,4,"['natural', 'high-waisted', 'defined', 'high']"
hasPocketType,4,"['no pocket type', 'chest pocket', 'patch', 'nonexistent']"
hasLeatherType,3,"['no leather type', 'no leather', 'absent']"
hasLapelType,3,"['no lapel type', 'nonexistent', 'absent']"
hasAnimalPattern,3,"['pink flowers', 'nonexistent', 'absent']"
