relationshipType,unique_value_count,unique_values
hasOpeningType,18,"['round neckline', 'zipper opening', 'buttons up', 'button placket', 'zipper front', 'button', 'button-front opening', 'crew-neck', 'button-down', 'straight hem', 'front opening', 'crew neck', 'crew neck opening', 'zipper', 'button front', 'open front', 'v-neck', 'closed opening']"
hasPattern,10,"['striped', 'solid color', 'solid color pattern', 'solid-color', 'floral', 'graphic', 'stripe', 'graphic print', 'plaid', 'cartoon character']"
hasFabricTreatment,10,"['lightweight', 'stretch fabric treatment', 'non-treated fabric', 'plain weave fabric', 'plain-weave', 'stretchy', 'soft', 'plain weave', 'non-stretch', 'non-treated']"
hasLength,8,"['above the knee', 'regular', 'long', 'short', 'short-sleeve', 'above-the-knee', 'regular length', 'short sleeve']"
hasNeckline,7,"['crew neck', 'round neckline', 'crew-neck', 'round', 'round-neckline', 'round neck', 'v-neckline']"
hasSilhouette,7,"['a-line', 'straight', 'slim-fit', 'crew-neck', 'regular', 'loose-fit', 'fitted']"
hasWaistline,6,"['natural', 'high', 'mid-rise waistline', 'natural-waist', 'high-waisted', 'natural waistline']"
hasLapelType,6,"['non-lapelled', 'no-lapel', 'lapelless', 'non-existent', 'lapel-less', 'non-lapel']"
hasPocketType,4,"['no-pockets', 'no-pocket', 'patch pockets', 'side pockets']"
hasMaterialType,2,"['cotton', 'cotton material']"
hasSleeveType,2,"['short-sleeve', 'sleeveless']"
hasCollarType,2,"['crew-neck', 'round-neck']"
belongsToCategory,2,"['upperbody', 'lowerbody']"
depicts,2,"['t-shirt', 'pants']"
hasAnimalPattern,1,['cartoon character']
hasLeatherType,1,['no leather']
