relationshipType,unique_value_count,unique_values
hasOpeningType,14,"['zipper', 'round neck', 'v-neck', 'round neckline with buttonhole', 'round neckline', 'crew neck', 'button', 'buttons or zippers', 'button placket', 'button front', 'buttoned opening', 'crew neck opening', 'round opening', 't-shirt opening']"
hasWaistline,7,"['high', 'high-waisted', 'natural', 'fitted', 'no waist', 'straight', 'natural-waist']"
hasFabricTreatment,5,"['plain weave', 'dyed', 'non-textured', 'soft-touch finish', 'no-finish']"
hasNeckline,5,"['crew neck', 'v-neck', 'round neck', 'round', 'round-neck']"
hasPattern,4,"['solid color', 'striped', 'floral', 'graphic']"
hasCollarType,4,"['round collar', 'crew-neck', 'v-neck', 'round']"
hasSilhouette,4,"['crew neck', 'fitted', 'a-line', 'straight']"
hasLapelType,3,"['non-existent', 'lapelless', 'no-lapel']"
hasSleeveType,2,"['short-sleeve', 'short']"
hasLength,2,"['short', 'short sleeve']"
depicts,2,"['t-shirt', 'shirt']"
hasAnimalPattern,2,"['non-existent', 'no-animal']"
hasLeatherType,2,"['non-existent', 'no-leather']"
hasPocketType,2,"['side pockets', 'patch pocket']"
hasMaterialType,1,['cotton']
belongsToCategory,1,['upperbody']
hasNickname,1,['graphic tee']
