 o82, depicts, couple 
 o82, conveys, happiness 
 o82, looksLike, traditional_indian_art 
 o82, usesPictorially, soft_colors 
 o82, hasArtisticElement, necklace 
 o82, hasInForeground, woman 
 o82, hasSetting, wedding_garden 
 o82, hasColorPalette, muted_color 
 o82, hasLineQuality, flowing_lines 
 o82, hasTexture, painterly_texture 
 o82, hasLightingEffect, natural_light 
 o82, hasCharacterDesign, stylized_faces 
 o82, hasEnvironmentStyle, lush_forest 
 o82, hasMoodAtmosphere, peaceful 
 o82, hasCompositionType, centered 
 o82, style, traditional_indian_style 
 o82, technique, oil_painting 
 o82, materials, oil_on_canvas 
 o82, hasTag, wedding_couple 
 o82, styleDetails, traditional_indian_wedding_garden 
