relationshipType,unique_value_count,unique_values
hasLength,7,"['medium', 'long', 'short', 'full length', 'any', 'variable', 'full-length']"
hasSilhouette,6,"['aviator', 'oval', 'round', 'ovals', 'rectangular', 'square']"
hasPattern,4,"['gradient', 'striped', 'stripe', 'solid color']"
hasOpeningType,4,"['button', 'closed opening', 'button front', 'round']"
hasFabricTreatment,3,"['anti-reflective coating', 'coated', 'polished']"
hasSleeveType,3,"['short', 'long', 'sleeveless']"
hasNeckline,3,"['round', 'straight', 'round neckline']"
hasNickname,3,"['sunglasses', 'eyewear', 'clock']"
belongsToCategory,2,"['head', 'headwear']"
hasAnimalPattern,1,['no']
hasLeatherType,1,['no']
hasMaterialType,1,['plastic']
depicts,1,['glasses']
hasPocketType,1,['pocket-less']
hasLapelType,1,['no-lapel']
