relationshipType,unique_value_count,unique_values
hasPocketType,10,"['chest pocket', 'breast pocket', 'patch pockets', 'side pocket', 'chest pockets', 'chest', 'side pockets', 'slanted pocket', 'side seam pocket', 'front pocket']"
hasNeckline,7,"['v-neck', 'classic collar', 'pointed', 'classic', 'classic neckline', 'classic spread', 'pointed neckline']"
hasFabricTreatment,7,"['plain weave', 'unfinished seams', 'brushed', 'smooth finish', 'unfinished hems', 'no special treatment', 'solid']"
hasLength,6,"['regular', 'long', 'full length', 'full', 'short', 'long sleeve']"
hasOpeningType,6,"['button front', 'button', 'button-up', 'buttons', 'button-down front', 'button-down']"
hasCollarType,4,"['pointed-collar', 'pointed', 'spread-collar', 'classic collar']"
hasSleeveType,3,"['long-sleeve', 'short-sleeve', 'long']"
hasWaistline,2,"['natural', 'natural-waist']"
hasLapelType,2,"['notch lapel', 'peak']"
hasPattern,1,['striped']
hasMaterialType,1,['cotton']
hasSilhouette,1,['straight']
belongsToCategory,1,['upperbody']
depicts,1,['shirt']
