relationshipType,unique_value_count,unique_values
hasOpeningType,8,"['zipper closure', 'round neckline', 'zipper', 'front opening', 'hidden opening', 'button', 'zip', 'buttons']"
hasSleeveType,5,"['short-sleeve', 'sleeveless', 'long', 'short', 'sleeveless sleeves']"
hasCollarType,5,"['v-neck', 'scoop', 'notch-collar', 'round neck', 'round']"
hasWaistline,4,"['natural', 'natural-waist', 'high-waisted', 'natural waistline']"
hasFabricTreatment,4,"['plain weave', 'solid', 'print', 'unfinished seams']"
hasNeckline,3,"['v-neck', 'round', 'v-neck neckline']"
hasMaterialType,2,"['cotton', 'cotton material']"
hasLength,2,"['knee-length', 'above the knee length']"
hasSilhouette,2,"['a-line', 'straight']"
depicts,2,"['dress', 'tunic']"
hasAnimalPattern,2,"['no animal patterns', 'no']"
hasPattern,1,['floral']
belongsToCategory,1,['upperbody']
hasPocketType,1,['side pockets']
hasLeatherType,1,['no leather']
