relationshipType,unique_value_count,unique_values
hasFabricTreatment,11,"['stretchy', 'soft-touch', 'unfinished hem', 'plain weave', 'non-textured', 'perforated', 'washed', 'stretchable', 'unfinished', 'brushed cotton', 'wrinkle-resistant']"
hasPocketType,10,"['side pockets', 'front pockets', 'front', 'side pocket', 'slant pocket', 'normal', 'patch pockets', 'front pocket', 'pocketless', 'slant']"
hasOpeningType,8,"['zipper', 'zip fly and button closure', 'zipper fly', 'button', 'fly', 'zipper closure', 'button fly', 'zip fly']"
hasSleeveType,5,"['straight', 'long-sleeve', 'long', 'sleeveless', 'no sleeve']"
hasLength,5,"['long', 'full-length', 'full length', 'ankle-length', 'full']"
hasPattern,5,"['solid color', 'striped', 'stripe', 'floral', 'plaid']"
hasMaterialType,3,"['cotton', 'cotton blend', 'cotton-polyester blend']"
hasWaistline,3,"['high', 'high-waisted', 'natural']"
hasNeckline,3,"['no neckline', 'non-existant', 'round neck']"
hasSilhouette,1,['straight']
belongsToCategory,1,['lowerbody']
depicts,1,['pants']
hasLeatherType,1,['no leather']
hasAnimalPattern,1,['zebra']
hasNickname,1,['blue jeans']
