relationshipType,unique_value_count,unique_values
hasNeckline,11,"['v-neck', 'classic', 'point collar', 'pointed', 'crew neck', 'spread', 'crew neckline', 'band collar', 'n/a', 'v-shaped', 'crew']"
hasPocketType,10,"['chest', 'breast pocket', 'chest pocket', 'buttoned', 'side pockets', 'no pocket', 'patch pockets', 'single breast pocket', 'front pocket and side pockets', 'patch']"
hasPattern,8,"['geometric', 'plaid', 'checked', 'checkered', 'striped', 'stripe pattern', 'solid color with embellishments', 'solid color']"
hasOpeningType,7,"['button', 'button front', 'buttons', 'placketed', 'button-down front', 'zipper closure', 'button-down']"
hasCollarType,6,"['pointed', 'spread-collar', 'button-down', 'pointed-collar', 'collared', 'turned-down collar']"
hasSleeveType,4,"['short-sleeve', 'short', 'long', 'sleeveless']"
hasLength,3,"['short', 'regular', 'full length']"
hasSilhouette,3,"['straight', 'regular', 'rectangular with padded back and shoulder straps']"
hasFabricTreatment,2,"['plain weave', 'water-resistant coating']"
hasMaterialType,2,"['cotton', 'polyester blend']"
depicts,2,"['shirt', 'backpack']"
hasLeatherType,2,"['no leather', 'n/a']"
hasLapelType,2,"['peak lapel', 'pointed']"
hasWaistline,1,['natural']
belongsToCategory,1,['upperbody']
hasAnimalPattern,1,['n/a']
