relationshipType,unique_value_count,unique_values
hasFabricTreatment,9,"['plain weave', 'solid', 'polished', 'smooth', 'treated with a water-repellent coating', 'coated', 'textured', 'suede', 'stained']"
hasOpeningType,7,"['loop', 'buckle', 'buttonhole', 'zipper', 'button', 'false', 'round']"
hasMaterialType,6,"['leather', 'plastic', 'fabric', 'rubber', 'metal', 'rubber or plastic']"
hasPattern,6,"['dotted', 'striped', 'text print', 'stripe', 'solid color', 'plaid']"
belongsToCategory,4,"['head', 'headwear', 'upperbody', 'lowerbody']"
hasLeatherType,4,"['cowhide', 'crocodile', 'calfskin', 'full-grain leather']"
hasSleeveType,4,"['short', 'sleeveless', 'long', 'long-sleeve']"
hasLength,3,"['short', 'medium', 'long']"
depicts,3,"['watch', 'ring', 'belt']"
hasSilhouette,2,"['round', 'straight']"
hasNickname,2,"['white quartz diamond watch', 'timepiece']"
hasPocketType,2,"['false', 'no pocket']"
hasNeckline,1,['round']
hasWaistline,1,['high']
hasAnimalPattern,1,['false']
