relationshipType,unique_value_count,unique_values
hasPattern,8,"['solid color', 'graphic print', 'textured', 'polka-dot', 'graphic design', 'graphic pattern', 'striped', 'stripe pattern']"
hasOpeningType,8,"['round neckline', 'crew neck opening', 'round opening', 'round', 'crew neck', 'round neck', 'zipper opening', 'button']"
hasWaistline,5,"['straight', 'natural-waist', 'fitted', 'no waist', 'high-waisted']"
hasCollarType,4,"['round collar', 'round', 'crew-neck', 'crew neck collar']"
hasLength,4,"['short', 'short-sleeve', 'short sleeve', 'regular']"
hasNeckline,3,"['crew neck', 'round neckline', 'round']"
hasLapelType,3,"['lapel-less', 'lapelless', 'non-existent']"
hasFabricTreatment,2,"['plain weave', 'dyed']"
hasSilhouette,2,"['crew neck', 'straight']"
hasNickname,2,"['badman shirt', 'graphic tee']"
hasMaterialType,1,['cotton']
hasSleeveType,1,['short-sleeve']
belongsToCategory,1,['upperbody']
depicts,1,['t-shirt']
hasLeatherType,1,['no leather']
hasPocketType,1,['no pocket']
hasAnimalPattern,1,['tiger']
