relationshipType,unique_value_count,unique_values
hasFabricTreatment,9,"['plain weave', 'unfinished hem', 'dobby', 'unfused', 'no treatment', 'twill weave', 'non-treated', 'soft', 'embroidery']"
hasCollarType,8,"['round', 'v-neck', 'pointed', 'pointed-collar', 'crew-neck', 'spread-collar', 'mandarin-collar', 'round neck']"
hasPocketType,8,"['patch', 'chest pocket', 'side pocket', 'side', 'single-chest pocket', 'side pockets', 'patch pockets', 'slant']"
hasSleeveType,6,"['short', 'short-sleeve', 'long-sleeve', 'half sleeve', 'long', 'three quarter']"
hasLength,6,"['midi', 'above the knee', 'long', 'short', 'knee-length', 'above-knee']"
hasOpeningType,5,"['button front', 'button', 'buttonhole', 'front opening', 'zipper']"
hasNeckline,5,"['v-neck', 'round', 'round neckline', 'straight', 'crew neck']"
hasPattern,4,"['floral', 'striped', 'stripe', 'plaid']"
hasSilhouette,3,"['a-line', 'straight', 'regular']"
depicts,3,"['blouse', 'shirt', 'dress']"
hasAnimalPattern,2,"['bird', 'flower pattern']"
hasMaterialType,1,['cotton']
hasWaistline,1,['natural']
belongsToCategory,1,['upperbody']
hasLapelType,1,['notch lapel']
