relationshipType,unique_value_count,unique_values
hasLength,13,"['short', 'regular', 'body-conforming', 'above the knee', 'mid-thigh', 'fitted', 'body-hugging', 'mid-rise', 'knee-length', 'midriff-baring', 'above the navel', 'long', 'midriff']"
hasOpeningType,11,"['zipper', 'back closure', 'button', 'front opening', 'back opening', 'hook and eye closure', 'v-neck', 'button front', 'front open', 'buttons', 'button-down']"
hasNeckline,9,"['plunging neckline', 'v-neck', 'sweetheart', 'v-shaped', 'plunging', 'classic', 'sweetheart neckline', 'round', 'regular']"
hasCollarType,9,"['v-neck', 'non-existent', 'button down', 'pointed-collar', 'notch-collar', 'mandarin-collar', 'spread-collar', 'pointed', 'notch']"
hasPattern,8,"['striped', 'floral', 'solid color', 'polka-dot', 'floral lace', 'checkered', 'solid-colored', 'plaid']"
hasSilhouette,8,"['fitted', 'a-line', 'push-up', 'regular', 'contour', 'underwired', 'v-neck', 'straight']"
hasSleeveType,6,"['sleeveless', 'short-sleeve', 'short', 'spaghetti straps', 'long-sleeve', 'long']"
hasMaterialType,5,"['cotton', 'fabric', 'lace and lycra', 'nylon or lycra blend', 'nylon']"
hasFabricTreatment,5,"['stretchy', 'washed', 'plain weave', 'stretch', 'non-treated']"
depicts,4,"['bra', 't-shirt', 'shirt', 'vest']"
hasPocketType,3,"['non-existent', 'no pocket', 'non-existent pockets']"
hasWaistline,1,['natural']
belongsToCategory,1,['upperbody']
hasLeatherType,1,['non-existent']
hasLapelType,1,['non-existent']
hasNickname,1,['bra']
hasAnimalPattern,1,['animal print']
