relationshipType,unique_value_count,unique_values
hasOpeningType,12,"['slip-on', 'closed-toe', 'closed toe', 'velcro', 'sandal', 'open toe', 'closed', 'open-toe', 'ties', 'closed-opening', 'slip-on or elastic closure', 'zipper']"
hasFabricTreatment,8,"['suede', 'hand-stitched', 'smooth', 'plain weave', 'no treatment', 'plain-texture', 'treated with water repellent', 'textile finishing']"
hasMaterialType,6,"['leather', 'fabric', 'fabric or leather', 'plastic', 'synthetic-material', 'synthetic']"
hasLength,6,"['flat', 'short', 'low-heeled', 'high-top', 'low', 'sandal']"
hasNeckline,5,"['round', 'v-neck', 'round neck', 'v neck', 'u-shaped']"
hasSilhouette,4,"['sandal', 'flat', 'square-toe sandal', 'open toe']"
hasPattern,4,"['striped', 'solid color', 'print', 'no-pattern']"
hasLeatherType,4,"['full-grain', 'smooth', 'smooth leather', 'full-grain leather']"
hasPocketType,4,"['pockets', 'no pocket', 'pocketless', 'no-pocket']"
hasSleeveType,3,"['sleeveless', 'short', 'open']"
hasNickname,3,"['flip-flop', 'slippers', 'sandal']"
belongsToCategory,2,"['lowerbody', 'upperbody']"
depicts,2,"['shoes', 'sandal']"
hasAnimalPattern,1,['zebra']
hasLapelType,1,['no-lapel']
hasCollarType,1,['strapless']
