relationshipType,unique_value_count,unique_values
hasLeatherType,10,"['full grain leather', 'full-grain leather', 'aniline-leather', 'calfskin', 'smooth', 'suede', 'leather', 'full-grain', 'full grain', 'nubuck']"
hasFabricTreatment,9,"['suede finish', 'suede-finish', 'suede', 'perforated', 'smooth', 'smooth finish', 'patina', 'studded', 'nubuck']"
hasLength,8,"['low heel', 'ankle-length', 'short', 'ankle-high', 'full length', 'low heels', 'ankle length', 'low-heeled']"
hasSleeveType,8,"['sleeveless', 'closed-toe', 'short', 'closed', 'short-sleeve', 'no sleeve', 'long-sleeve', 'slip-on']"
hasSilhouette,6,"['pointed toe', 'pointed-toe', 'round', 'square toe', 'closed-toe', 'regular']"
hasWaistline,5,"['high', 'natural-waist', 'natural', 'waistless', 'high-waisted']"
hasOpeningType,4,"['lace-up', 'open at the toe', 'zipper', 'closed opening']"
hasNeckline,4,"['round neckline', 'round neck', 'round', 'closed neckline']"
hasPattern,3,"['solid color', 'striped', 'solid-colored']"
depicts,2,"['shoes', 'shoe']"
hasMaterialType,1,['leather']
belongsToCategory,1,['lowerbody']
hasPocketType,1,['non-pocketed']
