relationshipType,unique_value_count,unique_values
hasOpeningType,18,"['button front opening', 'crew neck', 'round neck', 'crew neck opening', 'crew-neck', 'button front', 'zippers and buttons', 'straight', 'round opening', 'button', 'round neckline', 'front opening', 'round neck opening', 'v-neck opening', 'crew-neck opening', 'zipper', 'round-neck', 'button closure']"
hasPattern,14,"['graphic print', 'textured', 'graphic pattern', 'striped', 'solid color', 'solid pattern', 'abstract pattern', 'geometric', 'floral', 'graphic-print', 'stripe', 'striped pattern', 'graphic', 'graphic design']"
hasNeckline,10,"['crew neck', 'crew neckline', 'round neckline', 'crew-neck', 'v-neckline', 'round', 'round neck', 'v-neck neckline', 'round-neck', 'round-neckline']"
hasSilhouette,9,"['crew neck', 'a-line', 'straight', 'relaxed fit', 'slim-fit', 'fitted silhouette', 'regular fit', 'crew-neck', 'crewneck']"
hasLength,7,"['regular length', 'short-sleeve', 'short', 'short-sleeved', 'above the knee', 'short sleeve', 'regular']"
hasFabricTreatment,7,"['pre-washed', 'plain weave', 'unbleached', 'printed', 'brushed', 'no treatment', 'soft touch']"
hasWaistline,7,"['natural waistline', 'high-waisted', 'natural-waist', 'natural', 'no waist', 'high', 'fitted waistline']"
hasCollarType,5,"['crew neckline', 'crew-neck', 'crew neck collar', 'round collar', 'v-neck']"
hasNickname,5,"['blue t-shirt', 'tan shirt', 'graphic tee', 'little miss tidy', 'orange t-shirt']"
hasPocketType,4,"['no-pockets', 'no-pocket', 'no pocket', 'slant pockets']"
hasSleeveType,2,"['short-sleeve', 'short-sleeves']"
hasLapelType,2,"['lapel-less', 'lapelless']"
hasMaterialType,1,['cotton']
belongsToCategory,1,['upperbody']
depicts,1,['t-shirt']
hasLeatherType,1,['no leather']
