The image depicts a woman wearing a blue t-shirt. The following triples describe the fashion item in the image:

1. **(image_name, depicts, T-shirt)**
2. **(image_name, belongs_to_category, upperbody)**
3. **(image_name, has_silhouette, crew neck)**
4. **(image_name, has_waistline, fitted)**
5. **(image_name, has_length, short)**
6. **(image_name, has_collar_type, round collar)**
7. **(image_name, has_lapel_type, none)**
8. **(image_name, has_neckline, crew neck)**
9. **(image_name, has_sleeve_type, short sleeves)**
10. **(image_name, has_pocket_type, none)**
11. **(image_name, has_opening_type, crew neckline)**
12. **(image_name, has_material_type, cotton/polyester blend)**
13. **(image_name, has_leather_type, none)**
14. **(image_name, has_fabric_treatment, none)**
15. **(image_name, has_pattern, solid color)**
16. **(image_name, has_animal_pattern, none)**
