1. (Fossil_Adults-Women_Women_Black_Fashion_Winter_2016_Casual_Wallets_Accessories_Wallets_3, depicts, Wallet)
2. (Fossil_Adults-Women_Women_Black_Fashion_Winter_2016_Casual_Wallets_Accessories_Wallets_3, belongs_to_category, Accessories)
3. (Fossil_Adults-Women_Women_Black_Fashion_Winter_2016_Casual_Wallets_Accessories_Wallets_3, has_nickname, None)
4. (Fossil_Adults-Women_Women_Black_Fashion_Winter_2016_Casual_Wallets_Accessories_Wallets_3, has_silhouette, Rectangular)
5. (Fossil_Adults-Women_Women_Black_Fashion_Winter_2016_Casual_Wallets_Accessories_Wallets_3, has_waistline, None)
6. (Fossil_Adults-Women_Women_Black_Fashion_Winter_2016_Casual_Wallets_Accessories_Wallets_3, has_length, Short)
7. (Fossil_Adults-Women_Women_Black_Fashion_Winter_2016_Casual_Wallets_Accessories_Wallets_3, has_collar_type, None)
8. (Fossil_Adults-Women_Women_Black_Fashion_Winter_2016_Casual_Wallets_Accessories_Wallets_3, has_lapel_type, None)
9. (Fossil_Adults-Women_Women_Black_Fashion_Winter_2016_Casual_Wallets_Accessories_Wallets_3, has_neckline, None)
10. (Fossil_Adults-Women_Women_Black_Fashion_Winter_2016_Casual_Wallets_Accessories_Wallets_3, has_sleeve_type, None)
11. (Fossil_Adults-Women_Women_Black_Fashion_Winter_2016_Casual_Wallets_Accessories_Wallets_3, has_pocket_type, None)
12. (Fossil_Adults-Women_Women_Black_Fashion_Winter_2016_Casual_Wallets_Accessories_Wallets_3, has_opening_type, Zipper)
13. (Fossil_Adults-Women_Women_Black_Fashion_Winter_2016_Casual_Wallets_Accessories_Wallets_3, has_material_type, Synthetic)
14. (Fossil_Adults-Women_Women_Black_Fashion_Winter_2016_Casual_Wallets_Accessories_Wallets_3, has_leather_type, None)
15. (Fossil_Adults-Women_Women_Black_Fashion_Winter_2016_Casual_Wallets_Accessories_Wallets_3, has_fabric_treatment, None)
16. (Fossil_Adults-Women_Women_Black_Fashion_Winter_2016_Casual_Wallets_Accessories_Wallets_3, has_pattern, Solid)
17. (Fossil_Adults-Women_Women_Black_Fashion_Winter_2016_Casual_Wallets_Accessories_Wallets_3, has_animal_pattern, None)
