relationshipType,unique_value_count,unique_values
hasOpeningType,10,"['zipper', 'closed opening', 'buttonhole', 'open front', 'open-front', 'button', 'non-existent', 'zip closure', 'closure', 'button front']"
hasLength,9,"['short', 'medium', 'long', 'regular', 'sunglasses', 'variable', 'full length', 'wrist length', 'full-length']"
depicts,8,"['lip gloss', 'glasses', 'watch', 'sunglasses', 'lipstick', 'energy drink can', 'nail polish remover', 'perfume bottle']"
hasSilhouette,7,"['oval', 'rectangular', 'square or rectangular with rounded corners', 'aviator', 'round', 'ovals', 'straight']"
hasFabricTreatment,7,"['coated', 'textured surface', 'anti-reflective coating', 'glossy', 'nil', 'painted', 'textured']"
hasNeckline,6,"['round neck', 'no neckline', 'round', 'straight', 'non-existent', 'round neckline']"
hasNickname,6,"['lipstick', 'sunglasses', 'red lipstick', 'digital watch', 'pink glaze', 'shades']"
hasSleeveType,5,"['long-sleeve', 'sleeveless', 'short', 'long', 'short-sleeve']"
belongsToCategory,4,"['upperbody', 'head', 'headwear', 'accessories']"
hasPattern,4,"['solid color', 'gradient', 'striped', 'nil']"
hasLeatherType,3,"['plastic', 'nil', 'non-existent']"
hasPocketType,3,"['pocketless', 'non-existent', 'pocket-less']"
hasLapelType,3,"['lapel-less', 'non-existent', 'no-lapel']"
hasAnimalPattern,2,"['nil', 'non-existent']"
hasMaterialType,1,['plastic']
hasCollarType,1,['non-existent']
hasWaistline,1,['no waist']
