relationshipType,unique_value_count,unique_values
hasLength,12,"['low-top', 'full length', 'short', 'flat', 'slip-on', 'ankle-high', 'low', 'midi', 'low-heeled', 'ankle-length', 'closed-toe', 'ankle length']"
hasSilhouette,11,"['slip-on', 'rounded toe', 'regular', 'round toe', 'flat', 'athletic', 'round', 'sneakers', 'slipper', 'slipper-like', 'low-top sneaker']"
hasFabricTreatment,11,"['breathable', 'textured', 'waterproof', 'perforated', 'shiny', 'breathable mesh', 'non-sheer', 'dyeable', 'non-textured', 'smooth', 'treated fabric']"
hasOpeningType,8,"['lace-up', 'closed toe', 'shoes', 'slip-on', 'velcro', 'closed', 'lacing', 'zipper']"
hasNeckline,8,"['round neck', 'v-neck', 'round', 'closed', 'no neckline', 'round-neck', 'round neckline', 'closed neckline']"
hasSleeveType,7,"['sleeveless', 'slip-on', 'short-sleeve', 'short', 'long-sleeve', 'short sleeveless', 'short-sleeves']"
hasPattern,3,"['striped', 'solid color', 'solid-color']"
hasWaistline,3,"['non-waisted', 'no-waist', 'natural-waist']"
hasPocketType,3,"['no-pockets', 'pocketless', 'no pocket']"
hasMaterialType,2,"['synthetic', 'leather']"
belongsToCategory,2,"['lowerbody', 'shoes']"
hasLeatherType,2,"['full-grain leather', 'no leather']"
depicts,1,['shoes']
