relationshipType,unique_value_count,unique_values
hasOpeningType,8,"['zipper closure', 'zip', 'zipper', 'button', 'front opening', 'side opening', 'open front', 'front-opening']"
hasPattern,6,"['striped', 'floral', 'solid color', 'geometric', 'plaid', 'polka-dot']"
hasSleeveType,6,"['sleeveless', 'short', 'three-quarter length sleeves', 'short-sleeve', 'long', 'three-quarter length']"
hasLength,6,"['knee-length', 'long', 'above-the-knee', 'above-knee', 'above the knee', 'short']"
hasFabricTreatment,6,"['plain weave', 'unfinished seams', 'solid', 'printed', 'beaded', 'plain-weave']"
hasMaterialType,4,"['synthetic fabric', 'cotton', 'chiffon', 'fabric']"
hasCollarType,4,"['round', 'round neck', 'crew-neck', 'notch']"
depicts,4,"['dress', 'shirt', 'bag', 'sweatshirt']"
hasWaistline,3,"['high-waisted', 'natural', 'defined']"
hasAnimalPattern,3,"['no animals', 'no', 'rose']"
hasNeckline,2,"['v-neck', 'round']"
belongsToCategory,2,"['upperbody', 'lowerbody']"
hasPocketType,2,"['side pockets', 'non-existent']"
hasSilhouette,1,['a-line']
hasLeatherType,1,['non-existent']
hasLapelType,1,['non-existent']
