relationshipType,unique_value_count,unique_values
hasFabricTreatment,9,"['smooth', 'plain weave', 'unfinished seams', 'textured', 'unfinished', 'solid', 'suede finish', 'perforated', 'printed']"
hasOpeningType,8,"['slip-on', 'open toe', 'lace-up front', 'closed', 'closed at the back', 'slip on', 'closed toe', 'closed opening']"
hasNeckline,5,"['round', 'round neckline', 'flat', 'round neck', 'straight']"
hasMaterialType,4,"['fabric', 'leather', 'synthetic', 'textile']"
hasPattern,3,"['striped', 'solid color', 'floral']"
hasPocketType,3,"['no pocket', 'pockets', 'no_pockets']"
hasSleeveType,2,"['sleeveless', 'short']"
hasLeatherType,2,"['no leather', 'full-grain leather']"
hasWaistline,2,"['natural', 'no waist']"
hasLength,1,['short']
hasSilhouette,1,['flat']
belongsToCategory,1,['lowerbody']
depicts,1,['shoes']
