relationshipType,unique_value_count,unique_values
hasFabricTreatment,10,"['polished', 'no finishing or techniques', 'smooth', 'textured', 'embossed', 'suede', 'stained', 'no treatment', 'untreated', 'treated with tanning agents and dyes']"
hasOpeningType,9,"['loop', 'buckle', 'buttonhole', 'round', 'button', 'closed opening', 'round opening', 'snap fastener', 'open front']"
hasPattern,6,"['dotted', 'striped', 'solid color pattern', 'solid color', 'geometric', 'plaid']"
hasMaterialType,5,"['leather', 'plastic', 'metal', 'rubber', 'synthetic material']"
hasLeatherType,5,"['cowhide', 'no leather', 'smooth leather', 'smooth', 'full grain leather']"
hasSleeveType,4,"['short', 'sleeveless', 'short-sleeve', 'long']"
hasNeckline,3,"['round', 'no neckline', 'round neckline']"
belongsToCategory,3,"['head', 'headwear', 'upperbody']"
hasNickname,3,"['white quartz diamond watch', 'timepiece', 'wristwatch']"
hasLength,2,"['short', 'long']"
hasPocketType,2,"['false', 'no pocket']"
hasSilhouette,1,['round']
depicts,1,['watch']
