relationshipType,unique_value_count,unique_values
hasFabricTreatment,13,"['suede finish', 'suede', 'suede-finish', 'smooth', 'soft finish', 'patina', 'unfinished', 'studded', 'brushed texture', 'tanned', 'tumbled or buffed', 'nubuck', 'smooth finish']"
hasOpeningType,10,"['zipper', 'slip-on', 'lace-up', 'shoes', 'lace-up opening', 'slip-on opening', 'closed toe', 'closed', 'open at the toe', 'closed opening']"
hasSilhouette,9,"['pointed toe', 'pointed-toe', 'ankle boot', 'oxford', 'slip-on', 'flat', 'lace-up', 'ankle boots', 'round toe']"
hasLeatherType,9,"['smooth leather', 'full grain leather', 'full-grain leather', 'aniline-leather', 'smooth', 'suede', 'full-grain', 'suede leather', 'plain leather']"
hasSleeveType,7,"['long-sleeve', 'full sleeveless', 'slip-on', 'sleeveless', 'short', 'no sleeve', 'short sleeveless']"
hasLength,6,"['short', 'low heel', 'ankle-length', 'long', 'ankle-high', 'low-heeled']"
hasNeckline,5,"['round neckline', 'round neck', 'v-neck', 'round', 'closed neckline']"
belongsToCategory,3,"['upperbody', 'lowerbody', 'shoes']"
hasWaistline,3,"['waistless', 'natural-waist', 'high-waisted']"
depicts,2,"['shoes', 'shoe']"
hasPocketType,2,"['pocketless', 'front pocket']"
hasPattern,1,['solid color']
hasMaterialType,1,['leather']
hasCollarType,1,['high collar']
hasAnimalPattern,1,['no animal patterns']
