relationshipType,unique_value_count,unique_values
hasOpeningType,8,"['round neckline', 'crew neck opening', 'round neck', 'crew neck', 'round opening', 'full button closure', 'round', 'open front']"
hasPattern,8,"['graphic print', 'solid color', 'textured print', 'plain pattern', 'geometric', 'striped', 'graphic pattern', 'stripe pattern']"
hasWaistline,6,"['natural-waist', 'natural', 'fitted', 'no waist', 'straight', 'high-waisted']"
hasNickname,6,"['badman shirt', 'tan shirt', 'graphic tee', 'blue t-shirt', 'billy idol tour t-shirt', 't-shirt']"
hasFabricTreatment,6,"['dyed', 'plain weave', 'unbleached', 'soft fabric', 'stretch', 'soft finish']"
hasLength,5,"['short', 'short-sleeve', 'short sleeve', 'short-sleeved', 'regular']"
hasNeckline,4,"['crew neck', 'round', 'round neck', 'round neckline']"
hasCollarType,4,"['round', 'crew-neck', 'round collar', 'round neck']"
hasSilhouette,2,"['crew neck', 'crew-neck']"
depicts,2,"['t-shirt', 'shirt']"
hasLapelType,2,"['lapel-less', 'non-existent']"
hasMaterialType,1,['cotton']
hasSleeveType,1,['short-sleeve']
belongsToCategory,1,['upperbody']
hasLeatherType,1,['no leather']
hasPocketType,1,['no pocket']
hasAnimalPattern,1,['tiger']
