**Relationships:**

1.  **Depicts:** Shoes
2.  **Belongs_to_category:** Footwear
3.  **Has_nickname:** None
4.  **Has_silhouette:** Low-top
5.  **Has_waistline:** None
6.  **Has_length:** Mid-length
7.  **Has_collar_type:** None
8.  **Has_lapel_type:** None
9.  **Has_neckline:** None
10. **Has_sleeve_type:** None
11. **Has_pocket_type:** None
12. **Has_opening_type:** Lace-up
13. **Has_material_type:** Mesh, Synthetic
14. **Has_leather_type:** None
15. **Has_fabric_treatment:** Breathable
16. **Has_pattern:** Solid
17. **Has_animal_pattern:** None

**Triples:**

1.  (FILA_Adults-Men_Men_Black_Fashion_Fall_2012_Sports_Running_NA_Lace-Ups_Mesh_Regular_Sports_Shoes_Foo_0, depicts, Shoes)
2.  (FILA_Adults-Men_Men_Black_Fashion_Fall_2012_Sports_Running_NA_Lace-Ups_Mesh_Regular_Sports_Shoes_Foo_0, belongs_to_category, Footwear)
3.  (FILA_Adults-Men_Men_Black_Fashion_Fall_2012_Sports_Running_NA_Lace-Ups_Mesh_Regular_Sports_Shoes_Foo_0, has_nickname, None)
4.  (FILA_Adults-Men_Men_Black_Fashion_Fall_2012_Sports_Running_NA_Lace-Ups_Mesh_Regular_Sports_Shoes_Foo_0, has_silhouette, Low-top)
5.  (FILA_Adults-Men_Men_Black_Fashion_Fall_2012_Sports_Running_NA_Lace-Ups_Mesh_Regular_Sports_Shoes_Foo_0, has_waistline, None)
6.  (FILA_Adults-Men_Men_Black_Fashion_Fall_2012_Sports_Running_NA_Lace-Ups_Mesh_Regular_Sports_Shoes_Foo_0, has_length, Mid-length)
7.  (FILA_Adults-Men_Men_Black_Fashion_Fall_2012_Sports_Running_NA_Lace-Ups_Mesh_Regular_Sports_Shoes_Foo_0, has_collar_type, None)
8.  (FILA_Adults-Men_Men_Black_Fashion_Fall_2012_Sports_Running_NA_Lace-Ups_Mesh_Regular_Sports_Shoes_Foo_0, has_lapel_type, None)
9.  (FILA_Adults-Men_Men_Black_Fashion_Fall_2012_Sports_Running_NA_Lace-Ups_Mesh_Regular_Sports_Shoes_Foo_0, has_neckline, None)
10. (FILA_Adults-Men_Men_Black_Fashion_Fall_2012_Sports_Running_NA_Lace-Ups_Mesh_Regular_Sports_Shoes_Foo_0, has_sleeve_type, None)
11. (FILA_Adults-Men_Men_Black_Fashion_Fall_2012_Sports_Running_NA_Lace-Ups_Mesh_Regular_Sports_Shoes_Foo_0, has_pocket_type, None)
12. (FILA_Adults-Men_Men_Black_Fashion_Fall_2012_Sports_Running_NA_Lace-Ups_Mesh_Regular_Sports_Shoes_Foo_0, has_opening_type, Lace-up)
13. (FILA_Adults-Men_Men_Black_Fashion_Fall_2012_Sports_Running_NA_Lace-Ups_Mesh_Regular_Sports_Shoes_Foo_0, has_material_type, Mesh, Synthetic)
14. (FILA_Adults-Men_Men_Black_Fashion_Fall_2012_Sports_Running_NA_Lace-Ups_Mesh_Regular_Sports_Shoes_Foo_0, has_leather_type, None)
15. (FILA_Adults-Men_Men_Black_Fashion_Fall_2012_Sports_Running_NA_Lace-Ups_Mesh_Regular_Sports_Shoes_Foo_0, has_fabric_treatment, Breathable)
16. (FILA_Adults-Men_Men_Black_Fashion_Fall_2012_Sports_Running_NA_Lace-Ups_Mesh_Regular_Sports_Shoes_Foo_0, has_pattern, Solid)
17. (FILA_Adults-Men_Men_Black_Fashion_Fall_2012_Sports_Running_NA_Lace-Ups_Mesh_Regular_Sports_Shoes_Foo_0, has_animal_pattern, None)
