relationshipType,unique_value_count,unique_values
hasOpeningType,12,"['front opening', 'button', 'shirtcollar', 'zip', 'buttons', 'buttonhole', 'button front', 'button-down', 'zipper', 'side opening', 'front-opening', 'round neck']"
hasLength,8,"['knee-length', 'above-the-knee', 'above the knee', 'short', 'abovethehip', 'above-knee', 'long', 'midi']"
hasFabricTreatment,8,"['unfused', 'no treatment', 'plain weave', 'brushed', 'unfinished seams', 'printed', 'plain-weave', 'twill weave']"
hasSleeveType,7,"['three-quarter length', 'short', 'short-sleeve', 'sleeveless', 'cap sleeves', 'cap', 'long-sleeve']"
hasCollarType,7,"['round', 'crew-neck', 'notch', 'button-down', 'v-neck', 'crew', 'spread-collar']"
hasPocketType,7,"['side pocket', 'single-chest pocket', 'side pockets', 'slant', 'patch', 'side-seam', 'patch pockets']"
hasNeckline,6,"['round', 'crew neck', 'v-neck', 'crew-neck', 'spread', 'crewneck']"
hasSilhouette,6,"['a-line', 'straight', 'fitted', 'round', 'regular', 'striped']"
depicts,5,"['shirt', 't-shirt', 'dress', 'glasses', 'blouse']"
hasPattern,4,"['striped', 'floral', 'solid color', 'geometric']"
hasWaistline,2,"['natural', 'fitted']"
hasAnimalPattern,2,"['flower pattern', 'elephant']"
hasMaterialType,1,['cotton']
belongsToCategory,1,['upperbody']
hasLapelType,1,['notch']
