relationshipType,unique_value_count,unique_values
hasPocketType,9,"['no pocket', 'single', 'internal pocket', 'pocketless', 'external', 'side pocket', 'front pocket', 'zipper pocket', 'pockets']"
hasPattern,8,"['solid color', 'striped', 'tweed pattern', 'floral', 'solid-colored', 'print', 'solid color pattern', 'abstract pattern']"
hasFabricTreatment,8,"['plain weave', 'textured', 'textured weave', 'printed', 'smooth finish', 'un-treated', 'no special treatment', 'treated']"
hasSilhouette,8,"['rectangular', 'oval', 'flat', 'clutch', 'sheath', 'straight', 'shoulder bag', 'box-shaped']"
hasNeckline,7,"['round neck', 'open neck', 'no neckline', 'v-neck', 'round', 'straight neck', 'round neckline']"
hasOpeningType,6,"['zipper opening', 'zipper', 'lace-up front', 'zipper or button opening', 'zipper closure', 'open front']"
hasMaterialType,5,"['fabric', 'leather', 'synthetic', 'velvet', 'polyester']"
hasWaistline,5,"['no waist', 'high', 'natural', 'high-waisted', 'natural-waist']"
belongsToCategory,5,"['lowerbody', 'upperbody', 'head', 'bag', 'wholebody']"
depicts,5,"['bag', 'wallet', 'shoes', 'dress', 'clutch']"
hasSleeveType,4,"['sleeveless', 'long-sleeve', 'long', 'short']"
hasLength,3,"['short', 'long', 'midi']"
hasLeatherType,3,"['smooth leather', 'no leather', 'full-grain leather']"
hasNickname,1,['clutch']
hasAnimalPattern,1,['bird']
hasLapelType,1,['lapelless']
