relationshipType,unique_value_count,unique_values
hasNeckline,17,"['band collar', 'pointed neckline', 'classic neckline', 'v-neckline', 'straight', 'classic collar', 'crew neck', 'pointed', 'notch neckline', 'notch', 'classic spread collar', 'pointed collar', 'crew neckline', 'straight neckline', 'classic', 'v-neck', 'curved v-neck']"
hasOpeningType,14,"['buttoned opening', 'front opening', 'button front', 'zipper', 'button-front opening', 'buttons up to the neck', 'button-up', 'button front closure', 'button-down', 'buttons', 'button', 'button-opening', 'button up', 'button-down opening']"
hasCollarType,6,"['pointed-collar', 'notch-collar', 'spread-collar', 'pointed', 'classic collar', 'crew-neck']"
hasPattern,5,"['striped', 'solid color', 'plaid', 'plaid pattern', 'striped pattern']"
hasFabricTreatment,5,"['permenant press', 'plain weave', 'unfinished seams', 'unfinished hem', 'brushed']"
hasPocketType,5,"['breast pocket', 'patch pockets', 'chest pocket', 'side seam pockets', 'side pockets']"
hasWaistline,4,"['natural', 'natural waistline', 'natural-waist', 'high']"
hasLength,3,"['full length', 'long', 'long sleeve']"
hasSilhouette,3,"['straight', 'fitted', 'regular']"
hasLapelType,2,"['peak lapel', 'notch lapel']"
hasMaterialType,1,['cotton']
hasSleeveType,1,['long-sleeve']
belongsToCategory,1,['upperbody']
depicts,1,['shirt']
hasNickname,1,['long-sleeved shirt']
