relationshipType,unique_value_count,unique_values
hasSilhouette,10,"['square', 'curved', 'round', 'circular', 'strap', 'straight', 'rectangular', 'angular', 'bell-shaped', 'v-neckline']"
depicts,8,"['watch', 'ring', 'necklace', 'cufflink', 'bracelet', 'bottle', 'tote bag', 'key']"
hasOpeningType,8,"['snap fastener', 'buckle', 'button', 'buttonhole', 'closed', 'zipper', 'snap button', 'closed opening']"
hasNeckline,6,"['round neck', 'round', 'round neckline', 'round-necked', 'no neckline', 'v-neckline']"
hasSleeveType,5,"['long', 'long-sleeve', 'short', 'sleeveless', 'no-sleeves']"
hasNickname,5,"['leaf ring', 'bangle', 'flask', 'diamond ring', 'timepiece']"
hasPattern,5,"['solid color', 'geometric', 'striped', 'gemstone', 'floral']"
hasFabricTreatment,3,"['polished', 'smooth', 'polish']"
hasMaterialType,3,"['metal', 'gold', 'leather']"
hasLength,3,"['short', 'long', 'knee-length']"
hasWaistline,3,"['no waist', 'natural', 'no-waist']"
belongsToCategory,2,"['upperbody', 'head']"
hasPocketType,2,"['no pocket', 'no-pockets']"
hasLeatherType,1,['calfskin']
hasLapelType,1,['lapel-less']
hasAnimalPattern,1,['elephant']
