relationshipType,unique_value_count,unique_values
hasOpeningType,8,"['button front', 'zipper closure', 'zipper', 'front opening', 'button', 'zip', 'center front opening', 'buttons']"
hasLength,8,"['knee-length', 'short', 'above-knee length', 'above-knee', 'above-the-knee', 'mid-calf length', 'long', 'midi']"
hasSleeveType,7,"['short-sleeve', 'spaghetti straps', 'three-quarter-sleeve', 'long', 'sleeveless', 'long-sleeve', 'three-quarter sleeves']"
hasFabricTreatment,6,"['plain weave', 'printed', 'smooth', 'soft', 'unfinished seams', 'print']"
hasPattern,3,"['floral', 'striped', 'solid color']"
hasWaistline,3,"['high-waisted', 'natural-waist', 'natural']"
belongsToCategory,2,"['upperbody', 'dress']"
depicts,2,"['dress', 'tunic']"
hasMaterialType,1,['cotton']
hasNeckline,1,['v-neck']
hasCollarType,1,['v-neck']
hasSilhouette,1,['a-line']
hasAnimalPattern,1,['flower']
hasLeatherType,1,['no leather']
