relationshipType,unique_value_count,unique_values
hasMaterialType,12,"['polyester', 'synthetic material', 'nylon material', 'synthetic', 'nylon', 'fabric material', 'synthetic material type', 'cotton material', 'polyester material', 'polyester fabric', 'fabric', 'cotton']"
hasFabricTreatment,11,"['water resistant', 'water-repellent treatment', 'waterproof treatment', 'textured fabric', 'water-resistant', 'waterproofing treatment', 'water-resistant treatment', 'waterproof', 'no treatment', 'not treated', 'no finishing or techniques']"
hasLength,9,"['medium length', 'full length', 'long', 'short', 'standard length', 'knee-length', 'regular length', 'above knee length', 'medium']"
hasPocketType,8,"['front pockets', 'front pocket', 'side pockets', 'external pockets', 'outside pocket', 'multiple pockets', 'no pocket', 'side pocket']"
hasPattern,7,"['solid color', 'solid pattern', 'abstract pattern', 'plain color', 'polka dot pattern', 'solid color pattern', 'plain pattern']"
belongsToCategory,6,"['upperbody', 'lowerbody', 'wholebody garments', 'wholebody', 'bag', 'whole body']"
hasSleeveType,6,"['short-sleeve', 'sleeveless', 'backpack sleeves', 'long-sleeve', 'full sleeve', 'no sleeve']"
hasOpeningType,5,"['zipper opening', 'zip closure', 'zipper closure', 'top opening', 'zipper']"
hasNeckline,5,"['round neckline', 'no neckline', 'none neckline', 'crew neck', 'crew neckline']"
hasSilhouette,4,"['backpack silhouette', 'straight', 'bag-shaped', 'a-line']"
depicts,3,"['backpack', 'bag', 'adidas backpack']"
hasLeatherType,3,"['no leather', 'none leather type', 'no leather type']"
hasWaistline,3,"['high-waisted', 'no waist', 'natural waistline']"
hasNickname,1,['adidas star wars rucksack']
hasAnimalPattern,1,['none animal pattern']
hasLapelType,1,['none lapel type']
hasCollarType,1,['none collar type']
