relationshipType,unique_value_count,unique_values
hasFabricTreatment,10,"['polished', 'polished finish', 'smooth', 'coated', 'textured', 'plain weave', 'dyed', 'suede', 'solid', 'stained']"
hasOpeningType,8,"['one opening', 'loop', 'round', 'buckle closure', 'button', 'buckle', 'fastener on the side', 'snap fastener']"
hasMaterialType,7,"['metal', 'leather', 'plastic', 'rubber', 'stainless steel', 'synthetic', 'fabric']"
hasPattern,5,"['solid color', 'geometric', 'stripe', 'striped', 'plaid']"
hasSilhouette,4,"['round', 'oval', 'rectangular', 'square']"
hasNickname,4,"['timepiece', 'sports watch', 'bracelet', 'watch']"
hasLength,3,"['short', 'medium', 'long']"
belongsToCategory,3,"['head', 'watch', 'upperbody']"
hasSleeveType,3,"['short', 'sleeveless', 'long']"
hasNeckline,1,['round']
depicts,1,['watch']
hasLeatherType,1,['calfskin']
hasPocketType,1,['no pocket']
