1. (DKNY_Adults-Women_Women_White_Fashion_Winter_2016_Casual_Metal_2_years_Mechanical_Water_Resistant_Ca_4, depicts, Watch)
2. (DKNY_Adults-Women_Women_White_Fashion_Winter_2016_Casual_Metal_2_years_Mechanical_Water_Resistant_Ca_4, belongs_to_category, upperbody)
3. (DKNY_Adults-Women_Women_White_Fashion_Winter_2016_Casual_Metal_2_years_Mechanical_Water_Resistant_Ca_4, has_silhouette, Round)
4. (DKNY_Adults-Women_Women_White_Fashion_Winter_2016_Casual_Metal_2_years_Mechanical_Water_Resistant_Ca_4, has_waistline, None)
5. (DKNY_Adults-Women_Women_White_Fashion_Winter_2016_Casual_Metal_2_years_Mechanical_Water_Resistant_Ca_4, has_length, Short)
6. (DKNY_Adults-Women_Women_White_Fashion_Winter_2016_Casual_Metal_2_years_Mechanical_Water_Resistant_Ca_4, has_collar_type, None)
7. (DKNY_Adults-Women_Women_White_Fashion_Winter_2016_Casual_Metal_2_years_Mechanical_Water_Resistant_Ca_4, has_lapel_type, None)
8. (DKNY_Adults-Women_Women_White_Fashion_Winter_2016_Casual_Metal_2_years_Mechanical_Water_Resistant_Ca_4, has_neckline, Round)
9. (DKNY_Adults-Women_Women_White_Fashion_Winter_2016_Casual_Metal_2_years_Mechanical_Water_Resistant_Ca_4, has_sleeve_type, None)
10. (DKNY_Adults-Women_Women_White_Fashion_Winter_2016_Casual_Metal_2_years_Mechanical_Water_Resistant_Ca_4, has_pocket_type, None)
11. (DKNY_Adults-Women_Women_White_Fashion_Winter_2016_Casual_Metal_2_years_Mechanical_Water_Resistant_Ca_4, has_opening_type, None)
12. (DKNY_Adults-Women_Women_White_Fashion_Winter_2016_Casual_Metal_2_years_Mechanical_Water_Resistant_Ca_4, has_material_type, Metal)
13. (DKNY_Adults-Women_Women_White_Fashion_Winter_2016_Casual_Metal_2_years_Mechanical_Water_Resistant_Ca_4, has_leather_type, None)
14. (DKNY_Adults-Women_Women_White_Fashion_Winter_2016_Casual_Metal_2_years_Mechanical_Water_Resistant_Ca_4, has_fabric_treatment, None)
15. (DKNY_Adults-Women_Women_White_Fashion_Winter_2016_Casual_Metal_2_years_Mechanical_Water_Resistant_Ca_4, has_pattern, None)
16. (DKNY_Adults-Women_Women_White_Fashion_Winter_2016_Casual_Metal_2_years_Mechanical_Water_Resistant_Ca_4, has_animal_pattern, None)
