relationshipType,unique_value_count,unique_values
hasFabricTreatment,9,"['embossed', 'no treatment', 'smooth', 'plain weave', 'non-treated', 'no finishing or techniques', 'stitched', 'durable', 'smooth finish']"
hasLeatherType,9,"['cow leather', 'no leather type specified', 'uncoated', 'full-grain leather', 'full grain leather', 'calfskin', 'smooth', 'no leather type', 'cowhide leather']"
hasPocketType,8,"['pocket', 'no pocket', 'outside', 'single', 'non-existent', 'front pocket', 'internal pocket', 'zipper pocket']"
hasNeckline,7,"['open neckline', 'v-shaped', 'round neck', 'non-existent neckline', 'non-existent', 'round neckline', 'no neckline']"
hasOpeningType,6,"['zipper', 'zipper closure', 'strap', 'zipper opening', 'folded', 'button']"
belongsToCategory,6,"['wholebody', 'accessories', 'lowerbody', 'upperbody', 'head', 'bag']"
hasPattern,4,"['striped', 'solid color', 'solid-colored', 'textured']"
hasSleeveType,4,"['sleeveless', 'short', 'short-sleeve', 'non-existent']"
hasWaistline,4,"['high', 'high-waisted', 'non-existent', 'natural']"
hasMaterialType,2,"['leather', 'fabric']"
depicts,2,"['wallet', 'watch']"
hasAnimalPattern,2,"['no pattern', 'non-existent']"
hasLapelType,2,"['without lapel', 'non-existent']"
hasCollarType,2,"['without collar', 'non-existent']"
hasLength,1,['short']
hasSilhouette,1,['rectangular']
