image_name, relationship, attribute_value
Arrow_Adults-Men_Men_Grey_Fashion_Summer_2012_Formal_Regular_Fit_Checked_Garment_Measurements_in_Sho_3, depicts, Shirt
Arrow_Adults-Men_Men_Grey_Fashion_Summer_2012_Formal_Regular_Fit_Checked_Garment_Measurements_in_Sho_3, belongs_to_category, upperbody
Arrow_Adults-Men_Men_Grey_Fashion_Summer_2012_Formal_Regular_Fit_Checked_Garment_Measurements_in_Sho_3, has_nickname, Dress Shirt
Arrow_Adults-Men_Men_Grey_Fashion_Summer_2012_Formal_Regular_Fit_Checked_Garment_Measurements_in_Sho_3, has_silhouette, Classic Fit
Arrow_Adults-Men_Men_Grey_Fashion_Summer_2012_Formal_Regular_Fit_Checked_Garment_Measurements_in_Sho_3, has_waistline, N/A
Arrow_Adults-Men_Men_Grey_Fashion_Summer_2012_Formal_Regular_Fit_Checked_Garment_Measurements_in_Sho_3, has_length, Regular Fit
Arrow_Adults-Men_Men_Grey_Fashion_Summer_2012_Formal_Regular_Fit_Checked_Garment_Measurements_in_Sho_3, has_collar_type, Button-Down Collar
Arrow_Adults-Men_Men_Grey_Fashion_Summer_2012_Formal_Regular_Fit_Checked_Garment_Measurements_in_Sho_3, has_lapel_type, N/A
Arrow_Adults-Men_Men_Grey_Fashion_Summer_2012_Formal_Regular_Fit_Checked_Garment_Measurements_in_Sho_3, has_neckline, Classic Pointed Collar
Arrow_Adults-Men_Men_Grey_Fashion_Summer_2012_Formal_Regular_Fit_Checked_Garment_Measurements_in_Sho_3, has_sleeve_type, Long Sleeves
Arrow_Adults-Men_Men_Grey_Fashion_Summer_2012_Formal_Regular_Fit_Checked_Garment_Measurements_in_Sho_3, has_pocket_type, N/A
Arrow_Adults-Men_Men_Grey_Fashion_Summer_2012_Formal_Regular_Fit_Checked_Garment_Measurements_in_Sho_3, has_opening_type, Button-Down Front
Arrow_Adults-Men_Men_Grey_Fashion_Summer_2012_Formal_Regular_Fit_Checked_Garment_Measurements_in_Sho_3, has_material_type, Cotton
Arrow_Adults-Men_Men_Grey_Fashion_Summer_2012_Formal_Regular_Fit_Checked_Garment_Measurements_in_Sho_3, has_leather_type, N/A
Arrow_Adults-Men_Men_Grey_Fashion_Summer_2012_Formal_Regular_Fit_Checked_Garment_Measurements_in_Sho_3, has_fabric_treatment, N/A
Arrow_Adults-Men_Men_Grey_Fashion_Summer_2012_Formal_Regular_Fit_Checked_Garment_Measurements_in_Sho_3, has_pattern, Checked Pattern
Arrow_Adults-Men_Men_Grey_Fashion_Summer_2012_Formal_Regular_Fit_Checked_Garment_Measurements_in_Sho_3, has_animal_pattern, N/A
