relationshipType,unique_value_count,unique_values
hasOpeningType,13,"['zipper opening', 'button', 'button front opening', 'zipper', 'central opening', 'closed opening', 'front opening', 'crew neck opening', 'open front', 'round neckline', 'round neck opening type', 'button placket', 'side opening']"
hasPattern,12,"['solid pattern', 'plaid pattern', 'solid color', 'abstract pattern', 'solid color pattern', 'plain pattern', 'graphic print', 'polka-dot', 'geometric', 'floral', 'graphic pattern', 'stripe pattern']"
hasLength,8,"['above the knee length', 'regular', 'long', 'short', 'regular length', 'midi', 'above the knee', 'mini length']"
hasCollarType,5,"['crew-neck', 'crew neck collar', 'round collar', 'v-neck', 'crew neck collar type']"
hasMaterialType,4,"['cotton', 'cotton material', 'cotton fabric', 'cotton material type']"
hasFabricTreatment,4,"['stretch fabric treatment', 'plain fabric', 'plain weave', 'plain weave fabric']"
hasSleeveType,3,"['short-sleeve', 'sleeveless', 'long-sleeve']"
hasNeckline,3,"['round neckline', 'crew neck', 'v-neckline']"
hasWaistline,3,"['natural waistline', 'high', 'mid-rise waistline']"
hasPocketType,3,"['side pockets', 'no pocket', 'patch pockets']"
hasSilhouette,2,"['a-line', 'straight']"
belongsToCategory,2,"['upperbody', 'lowerbody']"
depicts,2,"['t-shirt', 'pants']"
hasAnimalPattern,2,"['no animal print', 'cartoon duck']"
hasLapelType,2,"['lapelless', 'notch lapel']"
hasLeatherType,1,['no leather']
