relationshipType,unique_value_count,unique_values
hasOpeningType,17,"['snap-fastener', 'low-cut', 'open front', 'closed front', 'open back', 'zipper', 'back closure', 'bra closure', 'front opening', 'back opening', 'front-zipper', 'button-down', 'hook and eye closure', 'closure', 'front-opening', 'back zipper', 'open-front']"
hasLength,17,"['short', 'bodycon', 'body-hugging', 'midi', 'mid-thigh', 'fitted', 'midriff', 'above the knee', 'knee-length', 'semi-sheer', 'regular', 'ankle-length', 'above the hip', 'relatively short', 'no defined length', 'mid-cut', 'cropped']"
hasNeckline,13,"['v-shaped', 'plunging', 'v-neck', 'sweetheart', 'sweetheart neckline', 'v-neckline', 'u-neck', 'u-shaped neckline', 'v-shaped neckline', 'deep v', 'plunging neckline', 'plunging v-neck', 'scoop neckline']"
hasMaterialType,10,"['cotton', 'synthetic', 'lace', 'fabric', 'lace and lycra', 'nylon or lycra blend', 'synthetic material', 'synthetic materials', 'lingerie', 'nylon']"
hasFabricTreatment,8,"['stretchy', 'stretchable', 'stretch', 'embroidered', 'lined', 'padded', 'lace', 'non-textured']"
hasWaistline,8,"['natural', 'low', 'natural-waist', 'high-waisted', 'low-rise', 'low-waisted', 'no waist', 'natural waistline']"
hasSilhouette,6,"['form-fitting', 'fitted', 'a-line', 'push-up', 'underwired', 'fitted silhouette']"
hasPattern,5,"['floral', 'floral lace', 'striped pattern', 'solid color', 'striped']"
hasAnimalPattern,4,"['bird pattern', 'no', 'no animal patterns', 'birds']"
depicts,2,"['bra', 'shirt']"
hasPocketType,2,"['no pocket', 'non-existent']"
hasCollarType,2,"['non-existent', 'v-neck']"
hasSleeveType,1,['sleeveless']
belongsToCategory,1,['upperbody']
hasLeatherType,1,['non-existent']
hasLapelType,1,['non-existent']
