relationshipType,unique_value_count,unique_values
hasLength,10,"['knee-length', 'short', 'above the knee', 'midi', 'above-knee length', 'above-knee', 'long', 'above-the-knee', 'above-the-knee length', 'above the knee length']"
hasFabricTreatment,8,"['dyed', 'plain weave', 'non-stretch', 'printed', 'smooth', 'print', 'embroidery', 'unfinished seams']"
hasSleeveType,8,"['sleeveless', 'short-sleeve', 'spaghetti straps', 'cap-sleeves', 'short', 'long-sleeve', 'three quarter', 'sleeveless sleeves']"
depicts,6,"['top', 't-shirt', 'dress', 'shirt', 'blouse', 'tunic']"
hasNeckline,5,"['v-neck', 'round', 'round neckline', 'round neck', 'v-neck neckline']"
hasCollarType,5,"['v-neck', 'crew-neck', 'round', 'mandarin-collar', 'round neck']"
hasWaistline,4,"['natural', 'high', 'empire waist', 'natural waistline']"
hasPattern,3,"['floral', 'solid color', 'striped']"
hasOpeningType,3,"['zipper', 'front opening', 'round neckline']"
hasSilhouette,3,"['a-line', 'straight', 'fitted']"
hasMaterialType,2,"['cotton', 'cotton material']"
hasAnimalPattern,2,"['flower', 'no']"
belongsToCategory,1,['upperbody']
hasPocketType,1,['side pockets']
