1: ASPEN_Adults-Women_Women_Blue_Fashion_Winter_2016_Casual_Free_Gifts_Free_Items_Free_Gifts_3, depicts, Watch.
2: ASPEN_Adults-Women_Women_Blue_Fashion_Winter_2016_Casual_Free_Gifts_Free_Items_Free_Gifts_3, belongs_to_category, Headwear and accessories.
3: ASPEN_Adults-Women_Women_Blue_Fashion_Winter_2016_Casual_Free_Gifts_Free_Items_Free_Gifts_3, has_nickname, None.
4: ASPEN_Adults-Women_Women_Blue_Fashion_Winter_2016_Casual_Free_Gifts_Free_Items_Free_Gifts_3, has_silhouette, None.
5: ASPEN_Adults-Women_Women_Blue_Fashion_Winter_2016_Casual_Free_Gifts_Free_Items_Free_Gifts_3, has_waistline, None.
6: ASPEN_Adults-Women_Women_Blue_Fashion_Winter_2016_Casual_Free_Gifts_Free_Items_Free_Gifts_3, has_length, None.
7: ASPEN_Adults-Women_Women_Blue_Fashion_Winter_2016_Casual_Free_Gifts_Free_Items_Free_Gifts_3, has_collar_type, None.
8: ASPEN_Adults-Women_Women_Blue_Fashion_Winter_2016_Casual_Free_Gifts_Free_Items_Free_Gifts_3, has_lapel_type, None.
9: ASPEN_Adults-Women_Women_Blue_Fashion_Winter_2016_Casual_Free_Gifts_Free_Items_Free_Gifts_3, has_neckline, None.
10: ASPEN_Adults-Women_Women_Blue_Fashion_Winter_2016_Casual_Free_Gifts_Free_Items_Free_Gifts_3, has_sleeve_type, None.
11: ASPEN_Adults-Women_Women_Blue_Fashion_Winter_2016_Casual_Free_Gifts_Free_Items_Free_Gifts_3, has_pocket_type, None.
12: ASPEN_Adults-Women_Women_Blue_Fashion_Winter_2016_Casual_Free_Gifts_Free_Items_Free_Gifts_3, has_opening_type, None.
13: ASPEN_Adults-Women_Women_Blue_Fashion_Winter_2016_Casual_Free_Gifts_Free_Items_Free_Gifts_3, has_material_type, Synthetic.
14: ASPEN_Adults-Women_Women_Blue_Fashion_Winter_2016_Casual_Free_Gifts_Free_Items_Free_Gifts_3, has_leather_type, None.
15: ASPEN_Adults-Women_Women_Blue_Fashion_Winter_2016_Casual_Free_Gifts_Free_Items_Free_Gifts_3, has_fabric_treatment, None.
16: ASPEN_Adults-Women_Women_Blue_Fashion_Winter_2016_Casual_Free_Gifts_Free_Items_Free_Gifts_3, has_pattern, Solid.
17: ASPEN_Adults-Women_Women_Blue_Fashion_Winter_2016_Casual_Free_Gifts_Free_Items_Free_Gifts_3, has_animal_pattern, None.
