1. (ASPEN_Adults-Women_Women_Blue_Fashion_Winter_2016_Casual_Free_Gifts_Free_Items_Free_Gifts_5, depicts, Glasses)
2. (ASPEN_Adults-Women_Women_Blue_Fashion_Winter_2016_Casual_Free_Gifts_Free_Items_Free_Gifts_5, belongs_to_category, Head)
3. (ASPEN_Adults-Women_Women_Blue_Fashion_Winter_2016_Casual_Free_Gifts_Free_Items_Free_Gifts_5, has_silhouette, Oval)
4. (ASPEN_Adults-Women_Women_Blue_Fashion_Winter_2016_Casual_Free_Gifts_Free_Items_Free_Gifts_5, has_waistline, None)
5. (ASPEN_Adults-Women_Women_Blue_Fashion_Winter_2016_Casual_Free_Gifts_Free_Items_Free_Gifts_5, has_length, Short)
6. (ASPEN_Adults-Women_Women_Blue_Fashion_Winter_2016_Casual_Free_Gifts_Free_Items_Free_Gifts_5, has_collar_type, None)
7. (ASPEN_Adults-Women_Women_Blue_Fashion_Winter_2016_Casual_Free_Gifts_Free_Items_Free_Gifts_5, has_lapel_type, None)
8. (ASPEN_Adults-Women_Women_Blue_Fashion_Winter_2016_Casual_Free_Gifts_Free_Items_Free_Gifts_5, has_neckline, None)
9. (ASPEN_Adults-Women_Women_Blue_Fashion_Winter_2016_Casual_Free_Gifts_Free_Items_Free_Gifts_5, has_sleeve_type, None)
10. (ASPEN_Adults-Women_Women_Blue_Fashion_Winter_2016_Casual_Free_Gifts_Free_Items_Free_Gifts_5, has_opening_type, None)
11. (ASPEN_Adults-Women_Women_Blue_Fashion_Winter_2016_Casual_Free_Gifts_Free_Items_Free_Gifts_5, has_material_type, Plastic)
12. (ASPEN_Adults-Women_Women_Blue_Fashion_Winter_2016_Casual_Free_Gifts_Free_Items_Free_Gifts_5, has_leather_type, None)
13. (ASPEN_Adults-Women_Women_Blue_Fashion_Winter_2016_Casual_Free_Gifts_Free_Items_Free_Gifts_5, has_fabric_treatment, Non-Treated)
14. (ASPEN_Adults-Women_Women_Blue_Fashion_Winter_2016_Casual_Free_Gifts_Free_Items_Free_Gifts_5, has_pattern, None)
15. (ASPEN_Adults-Women_Women_Blue_Fashion_Winter_2016_Casual_Free_Gifts_Free_Items_Free_Gifts_5, has_animal_pattern, None)
