1.  (Fabindia_Adults-Women_Women_Beige_Fashion_Summer_2012_Ethnic_Stoles_Accessories_Stoles_5, depicts, Stole)
2.  (Fabindia_Adults-Women_Women_Beige_Fashion_Summer_2012_Ethnic_Stoles_Accessories_Stoles_5, belongs_to_category, wholebody)
3.  (Fabindia_Adults-Women_Women_Beige_Fashion_Summer_2012_Ethnic_Stoles_Accessories_Stoles_5, has_silhouette, Straight silhouette)
4.  (Fabindia_Adults-Women_Women_Beige_Fashion_Summer_2012_Ethnic_Stoles_Accessories_Stoles_5, has_waistline, None)
5.  (Fabindia_Adults-Women_Women_Beige_Fashion_Summer_2012_Ethnic_Stoles_Accessories_Stoles_5, has_length, Long length)
6.  (Fabindia_Adults-Women_Women_Beige_Fashion_Summer_2012_Ethnic_Stoles_Accessories_Stoles_5, has_collar_type, None)
7.  (Fabindia_Adults-Women_Women_Beige_Fashion_Summer_2012_Ethnic_Stoles_Accessories_Stoles_5, has_lapel_type, None)
8.  (Fabindia_Adults-Women_Women_Beige_Fashion_Summer_2012_Ethnic_Stoles_Accessories_Stoles_5, has_neckline, None)
9.  (Fabindia_Adults-Women_Women_Beige_Fashion_Summer_2012_Ethnic_Stoles_Accessories_Stoles_5, has_sleeve_type, None)
10. (Fabindia_Adults-Women_Women_Beige_Fashion_Summer_2012_Ethnic_Stoles_Accessories_Stoles_5, has_pocket_type, None)
11. (Fabindia_Adults-Women_Women_Beige_Fashion_Summer_2012_Ethnic_Stoles_Accessories_Stoles_5, has_opening_type, Zipper opening type)
12. (Fabindia_Adults-Women_Women_Beige_Fashion_Summer_2012_Ethnic_Stoles_Accessories_Stoles_5, has_material_type, Silk material type)
13. (Fabindia_Adults-Women_Women_Beige_Fashion_Summer_2012_Ethnic_Stoles_Accessories_Stoles_5, has_leather_type, None)
14. (Fabindia_Adults-Women_Women_Beige_Fashion_Summer_2012_Ethnic_Stoles_Accessories_Stoles_5, has_fabric_treatment, None)
15. (Fabindia_Adults-Women_Women_Beige_Fashion_Summer_2012_Ethnic_Stoles_Accessories_Stoles_5, has_pattern, Print pattern type)
16. (Fabindia_Adults-Women_Women_Beige_Fashion_Summer_2012_Ethnic_Stoles_Accessories_Stoles_5, has_animal_pattern, None)
