relationshipType,unique_value_count,unique_values
hasSilhouette,13,"['briefs', 'bodycon', 'slim-fit', 'boyshorts', 'brief silhouette', 'boyshorts silhouette', 'form-fitting', 'bikini-cut', 'straight', 'close-fitting', 'slimming', 'hugging', 'body-hugging']"
hasOpeningType,12,"['open-front', 'open front', 'open back', 'snap-button', 'openings at the crotch', 'button fly', 'zipper', 'open bottom', 'slit', 'zip fly', 'front opening', 'zipper closure']"
hasFabricTreatment,9,"['unfinished seams', 'plain weave', 'plain-weave', 'soft', 'stretchy', 'perforated', 'plain fabric treatment', 'no treatment', 'no treatment or technique mentioned']"
depicts,9,"['panties', 'underwear', 'briefs', 'pants', 'undergarments', 'short', 'socks', 'lowerbody', 'jockey']"
hasWaistline,7,"['low-waisted', 'high-waisted', 'low', 'low-rise', 'natural-waist', 'high', 'no waist']"
hasNeckline,7,"['no neckline', 'round-neck', 'round neckline', 'straight', 'round neck', 'round', 'v-neck']"
hasPattern,5,"['solid color', 'striped', 'solid-color', 'stripe', 'floral']"
hasPocketType,4,"['pocketless', 'no-pockets', 'pocket-less', 'side pockets']"
hasSleeveType,3,"['sleeveless', 'short-sleeve', 'short']"
hasMaterialType,2,"['cotton', 'cotton material type']"
hasLength,2,"['short', 'briefs']"
hasNickname,2,"['jockstrap', 'briefs']"
belongsToCategory,1,['lowerbody']
hasLapelType,1,['lapel-less']
hasLeatherType,1,['no leather']
