relationshipType,unique_value_count,unique_values
hasSilhouette,11,"['closed toe', 'slip-on', 'flat', 'peep-toe', 'open toe', 'sandals', 'sandal', 'round', 'open', 'pointed-toe', 'loafer']"
hasLength,8,"['short', 'ankle-length', 'flat', 'low-heel', 'full', 'ankle-high', 'low-top', 'slip-on']"
hasFabricTreatment,8,"['plain weave', 'perforated', 'none specified', 'unfinished', 'treated with dye or pigment', 'smooth', 'suede', 'suede finish']"
hasMaterialType,6,"['leather', 'fabric', 'synthetic material', 'synthetic', 'suede', 'synthetic leather']"
hasOpeningType,6,"['open toe', 'slip-on', 'velcro closure', 'shoes', 'zipper', 'lace-up']"
hasSleeveType,6,"['sleeveless', 'short-sleeve', 'slip-on', 'short', 'open', 'closed']"
hasNeckline,6,"['round neckline', 'no neckline', 'v-neck', 'round', 'round neck', 'u-neck']"
hasLeatherType,4,"['smooth', 'no leather', 'full-grain', 'full-grain leather']"
hasPattern,3,"['solid color', 'striped', 'polka-dot']"
belongsToCategory,3,"['lowerbody', 'shoes', 'upperbody']"
depicts,2,"['shoes', 'sandal']"
hasPocketType,1,['no pocket']
hasAnimalPattern,1,['no animal patterns']
hasWaistline,1,['straight']
hasLapelType,1,['no lapels']
hasNickname,1,['sneakers']
hasCollarType,1,['slip-on']
