relationshipType,unique_value_count,unique_values
hasFabricTreatment,18,"['breathable mesh', 'suede', 'perforations', 'no treatment', 'waterproof', 'brushed', 'perforated', 'patent leather', 'textured', 'plain-weave', 'plain weave', 'smooth', 'breathable', 'breathable mesh lining', 'non-textured-fabrics', 'non-treated', 'breathable mesh panels', 'stained']"
hasMaterialType,10,"['synthetic materials', 'leather', 'synthetic', 'fabric', 'canvas', 'mesh', 'synthetic leather and fabric', 'textile', 'synthetic-materials', 'synthetic leather']"
hasOpeningType,10,"['lace-up or zipper', 'lace-up', 'closed', 'slip-on', 'lacing', 'zipper', 'closed-toe', 'laced', 'lace-up front', 'closed toe']"
hasSleeveType,10,"['sleeveless', 'slip-on', 'short', 'short-sleeve', 'closed', 'long', 'no-sleeves', 'long-sleeve', 'short sleeveless', 'closed-toe']"
hasSilhouette,9,"['regular', 'round', 'athletic', 'sneaker', 'running shoe silhouette', 'sneakers', 'low-top', 'trimmable', 'pointed-toe athletic']"
hasPattern,6,"['solid color', 'striped', 'stripe', 'solid-colored', 'no-pattern', 'solid-color']"
hasLength,5,"['midi', 'low-top', 'ankle-high', 'regular', 'ankle-length']"
hasNeckline,4,"['round neckline', 'round', 'round-neck', 'no-neckline']"
hasPocketType,4,"['zipper', 'no-pockets', 'no-pocket', 'pocketless']"
hasLeatherType,3,"['full-grain', 'smooth leather', 'nubuck']"
hasWaistline,3,"['high-waisted', 'no-waist', 'natural']"
belongsToCategory,1,['lowerbody']
depicts,1,['shoes']
hasLapelType,1,['no-lapel']
hasAnimalPattern,1,['no']
